Description,Average Predictive Value Difference
Ideal Values,
MLP GENDER Mitigation,0.1455142091303723
MLP DIR GENDER Mitigation,0.1360376778890516
MLP Reweighed GENDER Mitigation,0.1372091471329651
MLP AGE Mitigation,-0.0298863674060336
MLP DIR AGE Mitigation,-0.0185088154216663
MLP Reweighed AGE Mitigation,-0.0167626808912639
MLP AGE&GENDER Mitigation,0.1787898005775294
MLP DIR AGE&GENDER Mitigation,0.2106958974288003
MLP Reweighed AGE&GENDER Mitigation,0.2211035066862213
GRU GENDER Mitigation,0.1477357878195186
GRU DIR GENDER Mitigation,0.1374978607427684
GRU Reweighed GENDER Mitigation,0.1457129019856912
GRU AGE Mitigation,-0.0276853514903386
GRU DIR AGE Mitigation,-0.0067114430344013
GRU Reweighed AGE Mitigation,-0.0173269270997326
GRU AGE&GENDER Mitigation,0.1727437076110375
GRU DIR AGE&GENDER Mitigation,0.1692344216353577
GRU Reweighed AGE&GENDER Mitigation,0.1683799099380589
LSTM GENDER Mitigation,0.1474576307170613
LSTM DIR GENDER Mitigation,0.1313132209075917
LSTM Reweighed GENDER Mitigation,0.1361609149149392
LSTM AGE Mitigation,-0.0295951984590668
LSTM DIR AGE Mitigation,-0.0319910338663383
LSTM Reweighed AGE Mitigation,-0.0230293968066038
LSTM AGE&GENDER Mitigation,0.1734579083471714
LSTM DIR AGE&GENDER Mitigation,0.2129975787225839
LSTM Reweighed AGE&GENDER Mitigation,0.1719483192757868
LSTM GENDER Mitigation,0.1467527908608676
RNN DIR GENDER Mitigation,0.1436797423657135
RNN Reweighed GENDER Mitigation,0.1357351347086785
LSTM AGE Mitigation,-0.0316813637940569
RNN DIR AGE Mitigation,-0.0298667201811439
RNN Reweighed AGE Mitigation,-0.0185197873640531
LSTM AGE&GENDER Mitigation,0.1780507389579477
RNN DIR AGE&GENDER Mitigation,0.1806899109899968
RNN Reweighed AGE&GENDER Mitigation,0.1903725347785337
CNN GENDER Mitigation,0.1399793925186622
CNN DIR GENDER Mitigation,0.1618397752190587
CNN Reweighed GENDER Mitigation,0.1506985117114946
CNN AGE Mitigation,-0.0302018077041037
CNN DIR AGE Mitigation,-0.0350217453539775
CNN Reweighed AGE Mitigation,-0.0298803920908764
CNN AGE&GENDER Mitigation,0.1812446543965572
CNN DIR AGE&GENDER Mitigation,0.1759139336333779
CNN Reweighed AGE&GENDER Mitigation,0.1981402193699176
RFC GENDER Mitigation,0.1399793925186622
RFC DIR GENDER Mitigation,0.1329371995300036
RFC Reweighed GENDER Mitigation,0.1364865472782088
RFC AGE Mitigation,-0.0302018077041037
RFC DIR AGE Mitigation,-0.0203335356992385
RFC Reweighed AGE Mitigation,-0.0142727652614759
RFC AGE&GENDER Mitigation,0.1812446543965572
RFC DIR AGE&GENDER Mitigation,0.1972882007327473
RFC Reweighed AGE&GENDER Mitigation,0.1959015717911945
