Description,Between All Groups Coefficient of Variation
Ideal Values,
MLP GENDER Mitigation,0.1224486826644141
MLP DIR GENDER Mitigation,0.1240500547589039
MLP Reweighed GENDER Mitigation,0.1261921539249114
MLP AGE Mitigation,0.0396288410740931
MLP DIR AGE Mitigation,0.021141610525021
MLP Reweighed AGE Mitigation,0.0326882463582173
MLP AGE&GENDER Mitigation,0.1340775583077538
MLP DIR AGE&GENDER Mitigation,0.1297159071200246
MLP Reweighed AGE&GENDER Mitigation,0.1425896510424007
GRU GENDER Mitigation,0.1254957602736441
GRU DIR GENDER Mitigation,0.1276480601873579
GRU Reweighed GENDER Mitigation,0.1339744565828501
GRU AGE Mitigation,0.030842447032396
GRU DIR AGE Mitigation,0.028377723194496
GRU Reweighed AGE Mitigation,0.0245636149670869
GRU AGE&GENDER Mitigation,0.133059115495168
GRU DIR AGE&GENDER Mitigation,0.1236772638368911
GRU Reweighed AGE&GENDER Mitigation,0.1340910977261004
LSTM GENDER Mitigation,0.1245595263374156
LSTM DIR GENDER Mitigation,0.1204037717461739
LSTM Reweighed GENDER Mitigation,0.1124269425652036
LSTM AGE Mitigation,0.0328939360074145
LSTM DIR AGE Mitigation,0.0332451091291007
LSTM Reweighed AGE Mitigation,0.0262715771277037
LSTM AGE&GENDER Mitigation,0.1329778535653532
LSTM DIR AGE&GENDER Mitigation,0.1396997235360604
LSTM Reweighed AGE&GENDER Mitigation,0.121844863461925
LSTM GENDER Mitigation,0.1243654157422968
RNN DIR GENDER Mitigation,0.1292726071041347
RNN Reweighed GENDER Mitigation,0.1277026434068846
LSTM AGE Mitigation,0.0390499074468859
RNN DIR AGE Mitigation,0.0294801898330676
RNN Reweighed AGE Mitigation,0.0394289553018673
LSTM AGE&GENDER Mitigation,0.1352537454817382
RNN DIR AGE&GENDER Mitigation,0.1347113338042065
RNN Reweighed AGE&GENDER Mitigation,0.1267254722651996
CNN GENDER Mitigation,0.1383454379378907
CNN DIR GENDER Mitigation,0.1479789066565679
CNN Reweighed GENDER Mitigation,0.1528437029626804
CNN AGE Mitigation,0.043801615196102
CNN DIR AGE Mitigation,0.0426743811575687
CNN Reweighed AGE Mitigation,0.0386731644957442
CNN AGE&GENDER Mitigation,0.1503058787347934
CNN DIR AGE&GENDER Mitigation,0.1459513977635814
CNN Reweighed AGE&GENDER Mitigation,0.1394458396143826
RFC GENDER Mitigation,0.1383454379378907
RFC DIR GENDER Mitigation,0.1220925574379033
RFC Reweighed GENDER Mitigation,0.1103449673400824
RFC AGE Mitigation,0.043801615196102
RFC DIR AGE Mitigation,0.0285597461182817
RFC Reweighed AGE Mitigation,0.0194629043200133
RFC AGE&GENDER Mitigation,0.1503058787347934
RFC DIR AGE&GENDER Mitigation,0.1206606325362248
RFC Reweighed AGE&GENDER Mitigation,0.1330380447290041
