Description,Between Group Coefficient of Variation
Ideal Values,0.0
MLP GENDER Mitigation,0.1224486826644141
MLP DIR GENDER Mitigation,0.1240500547589039
MLP Reweighed GENDER Mitigation,0.1261921539249114
MLP AGE Mitigation,0.0396288410740931
MLP DIR AGE Mitigation,0.021141610525021
MLP Reweighed AGE Mitigation,0.0326882463582173
MLP AGE&GENDER Mitigation,0.8713794850397171
MLP DIR AGE&GENDER Mitigation,0.886570321265085
MLP Reweighed AGE&GENDER Mitigation,0.9029031524340424
GRU GENDER Mitigation,0.1254957602736441
GRU DIR GENDER Mitigation,0.1276480601873579
GRU Reweighed GENDER Mitigation,0.1339744565828501
GRU AGE Mitigation,0.030842447032396
GRU DIR AGE Mitigation,0.028377723194496
GRU Reweighed AGE Mitigation,0.0245636149670869
GRU AGE&GENDER Mitigation,0.8842230201952678
GRU DIR AGE&GENDER Mitigation,0.8837783242127467
GRU Reweighed AGE&GENDER Mitigation,0.8923742915912253
LSTM GENDER Mitigation,0.1245595263374156
LSTM DIR GENDER Mitigation,0.1204037717461739
LSTM Reweighed GENDER Mitigation,0.1124269425652036
LSTM AGE Mitigation,0.0328939360074145
LSTM DIR AGE Mitigation,0.0332451091291007
LSTM Reweighed AGE Mitigation,0.0262715771277037
LSTM AGE&GENDER Mitigation,0.8838815315570937
LSTM DIR AGE&GENDER Mitigation,0.8718133626625097
LSTM Reweighed AGE&GENDER Mitigation,0.8788317311821342
LSTM GENDER Mitigation,0.1243654157422968
RNN DIR GENDER Mitigation,0.1292726071041347
RNN Reweighed GENDER Mitigation,0.1277026434068846
LSTM AGE Mitigation,0.0390499074468859
RNN DIR AGE Mitigation,0.0294801898330676
RNN Reweighed AGE Mitigation,0.0394289553018673
LSTM AGE&GENDER Mitigation,0.8832796932510487
RNN DIR AGE&GENDER Mitigation,0.8737596040627655
RNN Reweighed AGE&GENDER Mitigation,0.8835971051720894
CNN GENDER Mitigation,0.1383454379378907
CNN DIR GENDER Mitigation,0.1479789066565679
CNN Reweighed GENDER Mitigation,0.1528437029626804
CNN AGE Mitigation,0.043801615196102
CNN DIR AGE Mitigation,0.0426743811575687
CNN Reweighed AGE Mitigation,0.0386731644957442
CNN AGE&GENDER Mitigation,0.8837756913344342
CNN DIR AGE&GENDER Mitigation,0.8907948867203744
CNN Reweighed AGE&GENDER Mitigation,0.8811780083923346
RFC GENDER Mitigation,0.1383454379378907
RFC DIR GENDER Mitigation,0.1220925574379033
RFC Reweighed GENDER Mitigation,0.1103449673400824
RFC AGE Mitigation,0.043801615196102
RFC DIR AGE Mitigation,0.0285597461182817
RFC Reweighed AGE Mitigation,0.0194629043200133
RFC AGE&GENDER Mitigation,0.8837756913344342
RFC DIR AGE&GENDER Mitigation,0.8862771389550677
RFC Reweighed AGE&GENDER Mitigation,0.894900573405972
