Description,Between Group Theil Index
Ideal Values,0.0
MLP GENDER Mitigation,0.0075694875536418
MLP DIR GENDER Mitigation,0.0077606022425194
MLP Reweighed GENDER Mitigation,0.0080364471768002
MLP AGE Mitigation,0.00076997280351
MLP DIR AGE Mitigation,0.0002210759098893
MLP Reweighed AGE Mitigation,0.0005256268517249
MLP AGE&GENDER Mitigation,0.5641652477065238
MLP DIR AGE&GENDER Mitigation,0.5791274388482123
MLP Reweighed AGE&GENDER Mitigation,0.5944746150713597
GRU GENDER Mitigation,0.0079471957469441
GRU DIR GENDER Mitigation,0.0082158284604263
GRU Reweighed GENDER Mitigation,0.0090660780984213
GRU AGE Mitigation,0.0004681878859599
GRU DIR AGE Mitigation,0.0003966701700876
GRU Reweighed AGE Mitigation,0.0002978902672758
GRU AGE&GENDER Mitigation,0.5764155389627666
GRU DIR AGE&GENDER Mitigation,0.5757728657596738
GRU Reweighed AGE&GENDER Mitigation,0.5849725441159015
LSTM GENDER Mitigation,0.0078283631368626
LSTM DIR GENDER Mitigation,0.007302925264943
LSTM Reweighed GENDER Mitigation,0.0063652731606574
LSTM AGE Mitigation,0.0005319990998451
LSTM DIR AGE Mitigation,0.0005431872969312
LSTM Reweighed AGE Mitigation,0.0003404230225426
LSTM AGE&GENDER Mitigation,0.5762386631100003
LSTM DIR AGE&GENDER Mitigation,0.5638997903674279
LSTM Reweighed AGE&GENDER Mitigation,0.5716418774855279
LSTM GENDER Mitigation,0.0078038390824032
RNN DIR GENDER Mitigation,0.0084406358136238
RNN Reweighed GENDER Mitigation,0.008228509808181
LSTM AGE Mitigation,0.0007474768515717
RNN DIR AGE Mitigation,0.0004280175543538
RNN Reweighed AGE Mitigation,0.0007615955048289
LSTM AGE&GENDER Mitigation,0.575928484790836
RNN DIR AGE&GENDER Mitigation,0.5657248922090372
RNN Reweighed AGE&GENDER Mitigation,0.5759261570675215
CNN GENDER Mitigation,0.0096701072026708
CNN DIR GENDER Mitigation,0.0110765818097601
CNN Reweighed GENDER Mitigation,0.0118226848182036
CNN AGE Mitigation,0.0009382678343267
CNN DIR AGE Mitigation,0.0008904104638752
CNN Reweighed AGE Mitigation,0.0007327982444671
CNN AGE&GENDER Mitigation,0.5761839678423065
CNN DIR AGE&GENDER Mitigation,0.5831501634748271
CNN Reweighed AGE&GENDER Mitigation,0.5726118868719624
RFC GENDER Mitigation,0.0096701072026708
RFC DIR GENDER Mitigation,0.007518237256155
RFC Reweighed GENDER Mitigation,0.0061287595335726
RFC AGE Mitigation,0.0009382678343267
RFC DIR AGE Mitigation,0.0004016629833769
RFC Reweighed AGE Mitigation,0.0001874422526639
RFC AGE&GENDER Mitigation,0.5761839678423065
RFC DIR AGE&GENDER Mitigation,0.5785600994987021
RFC Reweighed AGE&GENDER Mitigation,0.5871183106067326
