Description,Coefficient of Variation
Ideal Values,
MLP GENDER Mitigation,0.6970003802667672
MLP DIR GENDER Mitigation,0.6921834125857541
MLP Reweighed GENDER Mitigation,0.6822577190825296
MLP AGE Mitigation,0.6970003802667672
MLP DIR AGE Mitigation,0.6853653625753638
MLP Reweighed AGE Mitigation,0.7049432298232442
MLP AGE&GENDER Mitigation,0.6970003802667672
MLP DIR AGE&GENDER Mitigation,0.6841319447252828
MLP Reweighed AGE&GENDER Mitigation,0.6899557783168095
GRU GENDER Mitigation,0.6931615777191964
GRU DIR GENDER Mitigation,0.7030404906893822
GRU Reweighed GENDER Mitigation,0.6868305118217708
GRU AGE Mitigation,0.6931615777191964
GRU DIR AGE Mitigation,0.6780105760309441
GRU Reweighed AGE Mitigation,0.6851805446064728
GRU AGE&GENDER Mitigation,0.6931615777191964
GRU DIR AGE&GENDER Mitigation,0.6897041486735459
GRU Reweighed AGE&GENDER Mitigation,0.691921880461699
LSTM GENDER Mitigation,0.6916650079873669
LSTM DIR GENDER Mitigation,0.6941343170533473
LSTM Reweighed GENDER Mitigation,0.6894977644076437
LSTM AGE Mitigation,0.6916650079873669
LSTM DIR AGE Mitigation,0.692204269515578
LSTM Reweighed AGE Mitigation,0.6858727773456361
LSTM AGE&GENDER Mitigation,0.6916650079873669
LSTM DIR AGE&GENDER Mitigation,0.6998045333529509
LSTM Reweighed AGE&GENDER Mitigation,0.6836982395144836
LSTM GENDER Mitigation,0.6938813211645048
RNN DIR GENDER Mitigation,0.6963677996021886
RNN Reweighed GENDER Mitigation,0.6907754276733613
LSTM AGE Mitigation,0.6938813211645048
RNN DIR AGE Mitigation,0.6803213772027984
RNN Reweighed AGE Mitigation,0.6948578906257241
LSTM AGE&GENDER Mitigation,0.6938813211645048
RNN DIR AGE&GENDER Mitigation,0.6972174062645583
RNN Reweighed AGE&GENDER Mitigation,0.6935700530944094
CNN GENDER Mitigation,0.6972937237678062
CNN DIR GENDER Mitigation,0.6917888179962801
CNN Reweighed GENDER Mitigation,0.6846093451796933
CNN AGE Mitigation,0.6972937237678062
CNN DIR AGE Mitigation,0.6955940166542773
CNN Reweighed AGE Mitigation,0.6998096890062606
CNN AGE&GENDER Mitigation,0.6972937237678062
CNN DIR AGE&GENDER Mitigation,0.689305330382927
CNN Reweighed AGE&GENDER Mitigation,0.6976858145855435
RFC GENDER Mitigation,0.6972937237678062
RFC DIR GENDER Mitigation,0.6897815452615202
RFC Reweighed GENDER Mitigation,0.6972974555384818
RFC AGE Mitigation,0.6972937237678062
RFC DIR AGE Mitigation,0.6861812449448433
RFC Reweighed AGE Mitigation,0.6934368105987831
RFC AGE&GENDER Mitigation,0.6972937237678062
RFC DIR AGE&GENDER Mitigation,0.6884141843905011
RFC Reweighed AGE&GENDER Mitigation,0.6952236689620921
