Description,Consistency
Ideal Values,1.0
MLP GENDER Mitigation,0.9489851678376274
MLP DIR GENDER Mitigation,0.9530640124902424
MLP Reweighed GENDER Mitigation,0.9514246682279476
MLP AGE Mitigation,0.9489851678376274
MLP DIR AGE Mitigation,0.9525370804059334
MLP Reweighed AGE Mitigation,0.9524004683840754
MLP AGE&GENDER Mitigation,0.9489851678376274
MLP DIR AGE&GENDER Mitigation,0.953005464480875
MLP Reweighed AGE&GENDER Mitigation,0.95136612021858
GRU GENDER Mitigation,0.9519516003122568
GRU DIR GENDER Mitigation,0.9536690085870418
GRU Reweighed GENDER Mitigation,0.952732240437159
GRU AGE Mitigation,0.9519516003122568
GRU DIR AGE Mitigation,0.951131928181109
GRU Reweighed AGE Mitigation,0.9491022638563628
GRU AGE&GENDER Mitigation,0.9519516003122568
GRU DIR AGE&GENDER Mitigation,0.9491998438719756
GRU Reweighed AGE&GENDER Mitigation,0.9495706479313044
LSTM GENDER Mitigation,0.9519516003122568
LSTM DIR GENDER Mitigation,0.9497853239656524
LSTM Reweighed GENDER Mitigation,0.95220530835285
LSTM AGE Mitigation,0.9519516003122568
LSTM DIR AGE Mitigation,0.9510343481654964
LSTM Reweighed AGE Mitigation,0.9507220921155354
LSTM AGE&GENDER Mitigation,0.9519516003122568
LSTM DIR AGE&GENDER Mitigation,0.9530249804839974
LSTM Reweighed AGE&GENDER Mitigation,0.9481459797033572
LSTM GENDER Mitigation,0.9519516003122568
RNN DIR GENDER Mitigation,0.9528688524590168
RNN Reweighed GENDER Mitigation,0.9492974238875884
LSTM AGE Mitigation,0.9519516003122568
RNN DIR AGE Mitigation,0.9488875878220144
RNN Reweighed AGE Mitigation,0.9521467603434822
LSTM AGE&GENDER Mitigation,0.9519516003122568
RNN DIR AGE&GENDER Mitigation,0.948555815768931
RNN Reweighed AGE&GENDER Mitigation,0.952868852459017
CNN GENDER Mitigation,0.9519516003122568
CNN DIR GENDER Mitigation,0.953532396565184
CNN Reweighed GENDER Mitigation,0.9525175644028108
CNN AGE Mitigation,0.9519516003122568
CNN DIR AGE Mitigation,0.9538056206088998
CNN Reweighed AGE Mitigation,0.9525175644028108
CNN AGE&GENDER Mitigation,0.9519516003122568
CNN DIR AGE&GENDER Mitigation,0.9514051522248248
CNN Reweighed AGE&GENDER Mitigation,0.949141295862608
RFC GENDER Mitigation,0.9519516003122568
RFC DIR GENDER Mitigation,0.9550351288056212
RFC Reweighed GENDER Mitigation,0.9530054644808748
RFC AGE Mitigation,0.9519516003122568
RFC DIR AGE Mitigation,0.9514832162373152
RFC Reweighed AGE Mitigation,0.9513466042154572
RFC AGE&GENDER Mitigation,0.9519516003122568
RFC DIR AGE&GENDER Mitigation,0.9514637002341926
RFC Reweighed AGE&GENDER Mitigation,0.9468579234972682
