Description,Differential Fairness Bias Amplification
Ideal Values,
MLP GENDER Mitigation,-0.0815008664712477
MLP DIR GENDER Mitigation,-0.0247509232484396
MLP Reweighed GENDER Mitigation,-0.0047551101614402
MLP AGE Mitigation,0.1693131423833174
MLP DIR AGE Mitigation,0.1082036089427546
MLP Reweighed AGE Mitigation,0.1484317870301735
MLP AGE&GENDER Mitigation,-0.1923681320464575
MLP DIR AGE&GENDER Mitigation,-0.1024847945531132
MLP Reweighed AGE&GENDER Mitigation,-0.2611886331256151
GRU GENDER Mitigation,-0.0696994574372649
GRU DIR GENDER Mitigation,-0.030593810938022
GRU Reweighed GENDER Mitigation,-0.0106582624851953
GRU AGE Mitigation,0.1163927603449286
GRU DIR AGE Mitigation,0.1652742194914525
GRU Reweighed AGE Mitigation,0.1092974174391414
GRU AGE&GENDER Mitigation,-0.2904102407240334
GRU DIR AGE&GENDER Mitigation,-0.3651551261543424
GRU Reweighed AGE&GENDER Mitigation,-0.1403588695670711
LSTM GENDER Mitigation,-0.0713801048066898
LSTM DIR GENDER Mitigation,-0.0227400118749011
LSTM Reweighed GENDER Mitigation,-0.0762561071665612
LSTM AGE Mitigation,0.1293231521137341
LSTM DIR AGE Mitigation,0.1066434477622646
LSTM Reweighed AGE Mitigation,0.1082867197001412
LSTM AGE&GENDER Mitigation,-0.2637166737620894
LSTM DIR AGE&GENDER Mitigation,-0.2527363728335141
LSTM Reweighed AGE&GENDER Mitigation,-0.2605854197727306
LSTM GENDER Mitigation,-0.0721805384562941
RNN DIR GENDER Mitigation,-0.0396804565923233
RNN Reweighed GENDER Mitigation,-0.0054686391232496
LSTM AGE Mitigation,0.1654717297924116
RNN DIR AGE Mitigation,0.118102074949393
RNN Reweighed AGE Mitigation,0.2294971630571236
LSTM AGE&GENDER Mitigation,-0.2100582930205591
RNN DIR AGE&GENDER Mitigation,-0.3030793388588242
RNN Reweighed AGE&GENDER Mitigation,-0.254468011331208
CNN GENDER Mitigation,0.007044528920319
CNN DIR GENDER Mitigation,-0.0272344643740671
CNN Reweighed GENDER Mitigation,0.0550709987335601
CNN AGE Mitigation,0.2081042279710883
CNN DIR AGE Mitigation,0.1477524714964961
CNN Reweighed AGE Mitigation,0.1462020333616358
CNN AGE&GENDER Mitigation,-0.175275066582404
CNN DIR AGE&GENDER Mitigation,-0.1214380361938235
CNN Reweighed AGE&GENDER Mitigation,-0.2861523970612801
RFC GENDER Mitigation,0.007044528920319
RFC DIR GENDER Mitigation,-0.018069930728004
RFC Reweighed GENDER Mitigation,-0.0963001539239624
RFC AGE Mitigation,0.2081042279710883
RFC DIR AGE Mitigation,0.1520503669105903
RFC Reweighed AGE Mitigation,0.0897341766670932
RFC AGE&GENDER Mitigation,-0.175275066582404
RFC DIR AGE&GENDER Mitigation,-0.3015266704240585
RFC Reweighed AGE&GENDER Mitigation,-0.1893401885763369
