Description,Disparate Impact
Ideal Values,1.0
MLP GENDER Mitigation,0.8133565874652604
MLP DIR GENDER Mitigation,0.7891786825594138
MLP Reweighed GENDER Mitigation,0.7825784907358432
MLP AGE Mitigation,1.178503647159354
MLP DIR AGE Mitigation,1.0991820209050065
MLP Reweighed AGE Mitigation,1.1529756961609183
MLP AGE&GENDER Mitigation,1.106401794558907
MLP DIR AGE&GENDER Mitigation,1.1368350754658962
MLP Reweighed AGE&GENDER Mitigation,1.0648723500572268
GRU GENDER Mitigation,0.8033785626549481
GRU DIR GENDER Mitigation,0.7845760526848411
GRU Reweighed GENDER Mitigation,0.769430292981042
GRU AGE Mitigation,1.1336250210280132
GRU DIR AGE Mitigation,1.1700343139728515
GRU Reweighed AGE Mitigation,1.113969674556213
GRU AGE&GENDER Mitigation,1.0560821122955693
GRU DIR AGE&GENDER Mitigation,1.0251102653285409
GRU Reweighed AGE&GENDER Mitigation,1.0873972311651603
LSTM GENDER Mitigation,0.8063127791794968
LSTM DIR GENDER Mitigation,0.7936336526057042
LSTM Reweighed GENDER Mitigation,0.8308839763982924
LSTM AGE Mitigation,1.144221530163228
LSTM DIR AGE Mitigation,1.1336206194027334
LSTM Reweighed AGE Mitigation,1.1146676318629325
LSTM AGE&GENDER Mitigation,1.0719930487494638
LSTM DIR AGE&GENDER Mitigation,1.0850130764049857
LSTM Reweighed AGE&GENDER Mitigation,1.090867134856619
LSTM GENDER Mitigation,0.8069489961977756
RNN DIR GENDER Mitigation,0.7875067960053797
RNN Reweighed GENDER Mitigation,0.7779197088780627
LSTM AGE Mitigation,1.1769996922056305
RNN DIR AGE Mitigation,1.1262423007757862
RNN Reweighed AGE Mitigation,1.2046760824995182
LSTM AGE&GENDER Mitigation,1.105119553815287
RNN DIR AGE&GENDER Mitigation,1.031317338002553
RNN Reweighed AGE&GENDER Mitigation,1.0831892128955385
CNN GENDER Mitigation,0.761873229885516
CNN DIR GENDER Mitigation,0.7584086168803158
CNN Reweighed GENDER Mitigation,0.7271560923255326
CNN AGE Mitigation,1.199489380446343
CNN DIR AGE Mitigation,1.1707180570637208
CNN Reweighed AGE Mitigation,1.162038573167539
CNN AGE&GENDER Mitigation,1.0683046740522553
CNN DIR AGE&GENDER Mitigation,1.058720461447432
CNN Reweighed AGE&GENDER Mitigation,1.0062809055014412
RFC GENDER Mitigation,0.761873229885516
RFC DIR GENDER Mitigation,0.7923798092220673
RFC Reweighed GENDER Mitigation,0.8407398162904781
RFC AGE Mitigation,1.199489380446343
RFC DIR AGE Mitigation,1.1410575552918027
RFC Reweighed AGE Mitigation,1.0919462687377637
RFC AGE&GENDER Mitigation,1.0683046740522553
RFC DIR AGE&GENDER Mitigation,1.0886243339882755
RFC Reweighed AGE&GENDER Mitigation,1.0853378680238173
