Description,Error Rate Ratio
Ideal Values,1.0
MLP GENDER Mitigation,0.9575059236718348
MLP DIR GENDER Mitigation,1.0006850021301408
MLP Reweighed GENDER Mitigation,0.96584750679524
MLP AGE Mitigation,0.7708032397701221
MLP DIR AGE Mitigation,0.7823132751248953
MLP Reweighed AGE Mitigation,0.8382730533607121
MLP AGE&GENDER Mitigation,0.9661591951552612
MLP DIR AGE&GENDER Mitigation,0.9652295288474518
MLP Reweighed AGE&GENDER Mitigation,0.9645949793814036
GRU GENDER Mitigation,0.9275637009229392
GRU DIR GENDER Mitigation,0.9697833412391832
GRU Reweighed GENDER Mitigation,1.0008861098107404
GRU AGE Mitigation,0.7495770984317884
GRU DIR AGE Mitigation,0.8059483161685728
GRU Reweighed AGE Mitigation,0.8160447010616504
GRU AGE&GENDER Mitigation,0.9272936034667948
GRU DIR AGE&GENDER Mitigation,0.9820598484429448
GRU Reweighed AGE&GENDER Mitigation,0.9652046985348848
LSTM GENDER Mitigation,0.9272298047023044
LSTM DIR GENDER Mitigation,0.9556553017691368
LSTM Reweighed GENDER Mitigation,0.9616031576638414
LSTM AGE Mitigation,0.7458704711193423
LSTM DIR AGE Mitigation,0.803991153285393
LSTM Reweighed AGE Mitigation,0.8060326825334646
LSTM AGE&GENDER Mitigation,0.9207748435127224
LSTM DIR AGE&GENDER Mitigation,0.9553794173195552
LSTM Reweighed AGE&GENDER Mitigation,1.0043384044858474
LSTM GENDER Mitigation,0.9293507099067512
RNN DIR GENDER Mitigation,0.982224113660916
RNN Reweighed GENDER Mitigation,0.9505452508340057
LSTM AGE Mitigation,0.755482795725256
RNN DIR AGE Mitigation,0.7683133884746768
RNN Reweighed AGE Mitigation,0.8018741461982641
LSTM AGE&GENDER Mitigation,0.9289633165402192
RNN DIR AGE&GENDER Mitigation,1.0110917733849392
RNN Reweighed AGE&GENDER Mitigation,0.9710088431402542
CNN GENDER Mitigation,0.8945472163495419
CNN DIR GENDER Mitigation,0.9415279646529888
CNN Reweighed GENDER Mitigation,0.9203535897763712
CNN AGE Mitigation,0.8071588994556727
CNN DIR AGE Mitigation,0.8803850267789708
CNN Reweighed AGE Mitigation,0.8546437451859831
CNN AGE&GENDER Mitigation,0.9381120595371288
CNN DIR AGE&GENDER Mitigation,0.9390741240819872
CNN Reweighed AGE&GENDER Mitigation,1.0415605496071083
RFC GENDER Mitigation,0.8945472163495419
RFC DIR GENDER Mitigation,0.9479280151377946
RFC Reweighed GENDER Mitigation,0.9698157891496164
RFC AGE Mitigation,0.8071588994556727
RFC DIR AGE Mitigation,0.78510226644555
RFC Reweighed AGE Mitigation,0.792942755020352
RFC AGE&GENDER Mitigation,0.9381120595371288
RFC DIR AGE&GENDER Mitigation,0.9589127171427628
RFC Reweighed AGE&GENDER Mitigation,0.980193368930389
