Description,Error Rate
Ideal Values,0.0
MLP GENDER Mitigation,0.4879976580796252
MLP DIR GENDER Mitigation,0.4791178766588603
MLP Reweighed GENDER Mitigation,0.485167837626854
MLP AGE Mitigation,0.4879976580796252
MLP DIR AGE Mitigation,0.4962919594067135
MLP Reweighed AGE Mitigation,0.489656518345043
MLP AGE&GENDER Mitigation,0.4879976580796252
MLP DIR AGE&GENDER Mitigation,0.4759953161592506
MLP Reweighed AGE&GENDER Mitigation,0.4819476971116315
GRU GENDER Mitigation,0.4864363778298204
GRU DIR GENDER Mitigation,0.4901444184231069
GRU Reweighed GENDER Mitigation,0.4815573770491803
GRU AGE Mitigation,0.4864363778298204
GRU DIR AGE Mitigation,0.4809718969555034
GRU Reweighed AGE Mitigation,0.4802888368462139
GRU AGE&GENDER Mitigation,0.4864363778298204
GRU DIR AGE&GENDER Mitigation,0.4829234972677595
GRU Reweighed AGE&GENDER Mitigation,0.4794106167056986
LSTM GENDER Mitigation,0.4865339578454333
LSTM DIR GENDER Mitigation,0.4878024980483997
LSTM Reweighed GENDER Mitigation,0.4878024980483997
LSTM AGE Mitigation,0.4865339578454333
LSTM DIR AGE Mitigation,0.4861436377829821
LSTM Reweighed AGE Mitigation,0.4810694769711163
LSTM AGE&GENDER Mitigation,0.4865339578454333
LSTM DIR AGE&GENDER Mitigation,0.4973653395784543
LSTM Reweighed AGE&GENDER Mitigation,0.4806791569086651
LSTM GENDER Mitigation,0.489656518345043
RNN DIR GENDER Mitigation,0.4961943793911006
RNN Reweighed GENDER Mitigation,0.48224043715847
LSTM AGE Mitigation,0.489656518345043
RNN DIR AGE Mitigation,0.4814597970335675
RNN Reweighed AGE Mitigation,0.4954137392661982
LSTM AGE&GENDER Mitigation,0.489656518345043
RNN DIR AGE&GENDER Mitigation,0.4850702576112412
RNN Reweighed AGE&GENDER Mitigation,0.4864363778298204
CNN GENDER Mitigation,0.5130757220921156
CNN DIR GENDER Mitigation,0.5
CNN Reweighed GENDER Mitigation,0.509367681498829
CNN AGE Mitigation,0.5130757220921156
CNN DIR AGE Mitigation,0.5171740827478533
CNN Reweighed AGE Mitigation,0.5080015612802498
CNN AGE&GENDER Mitigation,0.5130757220921156
CNN DIR AGE&GENDER Mitigation,0.5060499609679938
CNN Reweighed AGE&GENDER Mitigation,0.5094652615144418
RFC GENDER Mitigation,0.5130757220921156
RFC DIR GENDER Mitigation,0.4894613583138173
RFC Reweighed GENDER Mitigation,0.4897540983606557
RFC AGE Mitigation,0.5130757220921156
RFC DIR AGE Mitigation,0.4833138173302107
RFC Reweighed AGE Mitigation,0.486631537861046
RFC AGE&GENDER Mitigation,0.5130757220921156
RFC DIR AGE&GENDER Mitigation,0.4891686182669789
RFC Reweighed AGE&GENDER Mitigation,0.4877049180327869
