Description,False Discovery Rate Difference
Ideal Values,0.0
MLP GENDER Mitigation,-0.1678787125480371
MLP DIR GENDER Mitigation,-0.1375183152918093
MLP Reweighed GENDER Mitigation,-0.1509679467981078
MLP AGE Mitigation,-0.0899475274766579
MLP DIR AGE Mitigation,-0.0962773788297646
MLP Reweighed AGE Mitigation,-0.0647678779257726
MLP AGE&GENDER Mitigation,-0.1549199477011983
MLP DIR AGE&GENDER Mitigation,-0.1687122964149843
MLP Reweighed AGE&GENDER Mitigation,-0.1859445124439004
GRU GENDER Mitigation,-0.1849719721497429
GRU DIR GENDER Mitigation,-0.1556901799129328
GRU Reweighed GENDER Mitigation,-0.1449288845156096
GRU AGE Mitigation,-0.1029781505114568
GRU DIR AGE Mitigation,-0.0927286880174115
GRU Reweighed AGE Mitigation,-0.0760220209083845
GRU AGE&GENDER Mitigation,-0.1805412102584658
GRU DIR AGE&GENDER Mitigation,-0.149916522042184
GRU Reweighed AGE&GENDER Mitigation,-0.1455251966379089
LSTM GENDER Mitigation,-0.1841382425397192
LSTM DIR GENDER Mitigation,-0.1538640871321717
LSTM Reweighed GENDER Mitigation,-0.1530390222096231
LSTM AGE Mitigation,-0.1036529011205877
LSTM DIR AGE Mitigation,-0.0699480759188526
LSTM Reweighed AGE Mitigation,-0.0755787557554342
LSTM AGE&GENDER Mitigation,-0.1815575456896349
LSTM DIR AGE&GENDER Mitigation,-0.1874894952098156
LSTM Reweighed AGE&GENDER Mitigation,-0.1280227429012294
LSTM GENDER Mitigation,-0.1825545410195523
RNN DIR GENDER Mitigation,-0.1519986963456194
RNN Reweighed GENDER Mitigation,-0.1612776025236593
LSTM AGE Mitigation,-0.0981443501593731
RNN DIR AGE Mitigation,-0.0904821092278719
RNN Reweighed AGE Mitigation,-0.0857854673290914
LSTM AGE&GENDER Mitigation,-0.1757830212992232
RNN DIR AGE&GENDER Mitigation,-0.1444277803348234
RNN Reweighed AGE&GENDER Mitigation,-0.1624911158493248
CNN GENDER Mitigation,-0.193622411212186
CNN DIR GENDER Mitigation,-0.1886450087385627
CNN Reweighed GENDER Mitigation,-0.1852704839658722
CNN AGE Mitigation,-0.0779692654187462
CNN DIR AGE Mitigation,-0.0347019612734296
CNN Reweighed AGE Mitigation,-0.0497809681845674
CNN AGE&GENDER Mitigation,-0.1689344942904373
CNN DIR AGE&GENDER Mitigation,-0.1626507335335858
CNN Reweighed AGE&GENDER Mitigation,-0.1328974205284909
RFC GENDER Mitigation,-0.193622411212186
RFC DIR GENDER Mitigation,-0.1577354168371104
RFC Reweighed GENDER Mitigation,-0.1512564801898773
RFC AGE Mitigation,-0.0779692654187462
RFC DIR AGE Mitigation,-0.0896448424355506
RFC Reweighed AGE Mitigation,-0.0912174255277571
RFC AGE&GENDER Mitigation,-0.1689344942904373
RFC DIR AGE&GENDER Mitigation,-0.1721216971520577
RFC Reweighed AGE&GENDER Mitigation,-0.1581673723783996
