Description,False Discovery Rate Ratio
Ideal Values,1.0
MLP GENDER Mitigation,0.6925179214422394
MLP DIR GENDER Mitigation,0.7376029204542315
MLP Reweighed GENDER Mitigation,0.7220149204147098
MLP AGE Mitigation,0.8193089492283065
MLP DIR AGE Mitigation,0.8117087683799271
MLP Reweighed AGE Mitigation,0.8674017790956264
MLP AGE&GENDER Mitigation,0.729296705558864
MLP DIR AGE&GENDER Mitigation,0.6937293410633618
MLP Reweighed AGE&GENDER Mitigation,0.6713538849828736
GRU GENDER Mitigation,0.6689130151278039
GRU DIR GENDER Mitigation,0.7126579803402244
GRU Reweighed GENDER Mitigation,0.7283433936955064
GRU AGE Mitigation,0.7960725813273842
GRU DIR AGE Mitigation,0.8173446239808116
GRU Reweighed AGE Mitigation,0.8466287066057809
GRU AGE&GENDER Mitigation,0.6915802763582035
GRU DIR AGE&GENDER Mitigation,0.7309498151082937
GRU Reweighed AGE&GENDER Mitigation,0.7364090614031337
LSTM GENDER Mitigation,0.6703999836363479
LSTM DIR GENDER Mitigation,0.7201722695973166
LSTM Reweighed GENDER Mitigation,0.7203832481909738
LSTM AGE Mitigation,0.7949280964898716
LSTM DIR AGE Mitigation,0.8585780782076905
LSTM Reweighed AGE Mitigation,0.8449338723142493
LSTM AGE&GENDER Mitigation,0.6897080095824544
LSTM DIR AGE&GENDER Mitigation,0.6722812515301376
LSTM Reweighed AGE&GENDER Mitigation,0.7729298301978842
LSTM GENDER Mitigation,0.6746542346542346
RNN DIR GENDER Mitigation,0.7246865118072787
RNN Reweighed GENDER Mitigation,0.6992647058823529
LSTM AGE Mitigation,0.8067238840506542
RNN DIR AGE Mitigation,0.8178350710900474
RNN Reweighed AGE Mitigation,0.8309414408611385
LSTM AGE&GENDER Mitigation,0.7005596029986274
RNN DIR AGE&GENDER Mitigation,0.7412215486083303
RNN Reweighed AGE&GENDER Mitigation,0.7126472898664572
CNN GENDER Mitigation,0.6693122436365679
CNN DIR GENDER Mitigation,0.6675965762420181
CNN Reweighed GENDER Mitigation,0.681952335858586
CNN AGE Mitigation,0.8518303995588098
CNN DIR AGE Mitigation,0.9338513056787898
CNN Reweighed AGE Mitigation,0.9027465474631154
CNN AGE&GENDER Mitigation,0.7217959654757126
CNN DIR AGE&GENDER Mitigation,0.7234251239914131
CNN Reweighed AGE&GENDER Mitigation,0.7745404099135759
RFC GENDER Mitigation,0.6693122436365679
RFC DIR GENDER Mitigation,0.7126962050466918
RFC Reweighed GENDER Mitigation,0.7232328234823521
RFC AGE Mitigation,0.8518303995588098
RFC DIR AGE Mitigation,0.8182805690429138
RFC Reweighed AGE Mitigation,0.8169573222156001
RFC AGE&GENDER Mitigation,0.7217959654757126
RFC DIR AGE&GENDER Mitigation,0.6980340672776278
RFC Reweighed AGE&GENDER Mitigation,0.7199469995720225
