Description,False Negative Rate
Ideal Values,0.0
MLP GENDER Mitigation,0.4754536771728749
MLP DIR GENDER Mitigation,0.4682433721152012
MLP Reweighed GENDER Mitigation,0.4614341085271318
MLP AGE Mitigation,0.4754536771728749
MLP DIR AGE Mitigation,0.4640926640926641
MLP Reweighed AGE Mitigation,0.481838819523269
MLP AGE&GENDER Mitigation,0.4754536771728749
MLP DIR AGE&GENDER Mitigation,0.4591797623610579
MLP Reweighed AGE&GENDER Mitigation,0.4660676734849933
GRU GENDER Mitigation,0.476937984496124
GRU DIR GENDER Mitigation,0.4826600609756097
GRU Reweighed GENDER Mitigation,0.4654075929851609
GRU AGE Mitigation,0.476937984496124
GRU DIR AGE Mitigation,0.4649782350613375
GRU Reweighed AGE Mitigation,0.4681472822910578
GRU AGE&GENDER Mitigation,0.476937984496124
GRU DIR AGE&GENDER Mitigation,0.4727343295167863
GRU Reweighed AGE&GENDER Mitigation,0.465288315629742
LSTM GENDER Mitigation,0.4748062015503876
LSTM DIR GENDER Mitigation,0.4801556420233463
LSTM Reweighed GENDER Mitigation,0.4697934761629029
LSTM AGE Mitigation,0.4748062015503876
LSTM DIR AGE Mitigation,0.4726502311248074
LSTM Reweighed AGE Mitigation,0.4603326323838654
LSTM AGE&GENDER Mitigation,0.4748062015503876
LSTM DIR AGE&GENDER Mitigation,0.4807434374401226
LSTM Reweighed AGE&GENDER Mitigation,0.4642857142857143
LSTM GENDER Mitigation,0.477906976744186
RNN DIR GENDER Mitigation,0.479814564419548
RNN Reweighed GENDER Mitigation,0.4660564454614798
LSTM AGE Mitigation,0.477906976744186
RNN DIR AGE Mitigation,0.4575681422772086
RNN Reweighed AGE Mitigation,0.4759430331023864
LSTM AGE&GENDER Mitigation,0.477906976744186
RNN DIR AGE&GENDER Mitigation,0.4813526570048309
RNN Reweighed AGE&GENDER Mitigation,0.4736639753940792
CNN GENDER Mitigation,0.4831395348837209
CNN DIR GENDER Mitigation,0.4717090069284064
CNN Reweighed GENDER Mitigation,0.471431376398979
CNN AGE Mitigation,0.4831395348837209
CNN DIR AGE Mitigation,0.4856192525924476
CNN Reweighed AGE Mitigation,0.4836223506743738
CNN AGE&GENDER Mitigation,0.4831395348837209
CNN DIR AGE&GENDER Mitigation,0.4682570219315121
CNN Reweighed AGE&GENDER Mitigation,0.4823120046394742
RFC GENDER Mitigation,0.4831395348837209
RFC DIR GENDER Mitigation,0.4707246376811594
RFC Reweighed GENDER Mitigation,0.4783944689840599
RFC AGE Mitigation,0.4831395348837209
RFC DIR AGE Mitigation,0.4616858237547893
RFC Reweighed AGE Mitigation,0.474201001155179
RFC AGE&GENDER Mitigation,0.4831395348837209
RFC DIR AGE&GENDER Mitigation,0.4701550387596899
RFC Reweighed AGE&GENDER Mitigation,0.4689393939393939
