Description,False Omission Rate Difference
Ideal Values,0.0
MLP GENDER Mitigation,0.1231497057127075
MLP DIR GENDER Mitigation,0.1345570404862939
MLP Reweighed GENDER Mitigation,0.1234503474678225
MLP AGE Mitigation,-0.1497202622887253
MLP DIR AGE Mitigation,-0.1332950096730973
MLP Reweighed AGE Mitigation,-0.0982932397083006
MLP AGE&GENDER Mitigation,0.2026596534538604
MLP DIR AGE&GENDER Mitigation,0.2526794984426164
MLP Reweighed AGE&GENDER Mitigation,0.2562625009285422
GRU GENDER Mitigation,0.1104996034892942
GRU DIR GENDER Mitigation,0.1193055415726039
GRU Reweighed GENDER Mitigation,0.1464969194557727
GRU AGE Mitigation,-0.1583488534921339
GRU DIR AGE Mitigation,-0.1061515740862141
GRU Reweighed AGE Mitigation,-0.1106758751078499
GRU AGE&GENDER Mitigation,0.1649462049636092
GRU DIR AGE&GENDER Mitigation,0.1885523212285313
GRU Reweighed AGE&GENDER Mitigation,0.191234623238209
LSTM GENDER Mitigation,0.1107770188944034
LSTM DIR GENDER Mitigation,0.1087623546830117
LSTM Reweighed GENDER Mitigation,0.1192828076202552
LSTM AGE Mitigation,-0.1628432980387214
LSTM DIR AGE Mitigation,-0.1339301436515291
LSTM Reweighed AGE Mitigation,-0.1216375493686418
LSTM AGE&GENDER Mitigation,0.1653582710047079
LSTM DIR AGE&GENDER Mitigation,0.238505662235352
LSTM Reweighed AGE&GENDER Mitigation,0.2158738956503443
LSTM GENDER Mitigation,0.1109510407021829
RNN DIR GENDER Mitigation,0.1353607883858075
RNN Reweighed GENDER Mitigation,0.1101926668936978
LSTM AGE Mitigation,-0.1615070777474869
RNN DIR AGE Mitigation,-0.1502155495901598
RNN Reweighed AGE Mitigation,-0.1228250420571977
LSTM AGE&GENDER Mitigation,0.1803184566166721
RNN DIR AGE&GENDER Mitigation,0.2169520416451702
RNN Reweighed AGE&GENDER Mitigation,0.2182539537077428
CNN GENDER Mitigation,0.0863363738251384
CNN DIR GENDER Mitigation,0.1350345416995547
CNN Reweighed GENDER Mitigation,0.1161265394571168
CNN AGE Mitigation,-0.1383728808269537
CNN DIR AGE Mitigation,-0.1047454519813849
CNN Reweighed AGE Mitigation,-0.1095417523663203
CNN AGE&GENDER Mitigation,0.193554814502677
CNN DIR AGE&GENDER Mitigation,0.18917713373317
CNN Reweighed AGE&GENDER Mitigation,0.2633830182113443
RFC GENDER Mitigation,0.0863363738251384
RFC DIR GENDER Mitigation,0.1081389822228969
RFC Reweighed GENDER Mitigation,0.1217166143665402
RFC AGE Mitigation,-0.1383728808269537
RFC DIR AGE Mitigation,-0.1303119138340278
RFC Reweighed AGE Mitigation,-0.1197629560507089
RFC AGE&GENDER Mitigation,0.193554814502677
RFC DIR AGE&GENDER Mitigation,0.2224547043134369
RFC Reweighed AGE&GENDER Mitigation,0.2336357712039894
