Description,False Positive Rate Difference
Ideal Values,0.0
MLP GENDER Mitigation,-0.1344516917360824
MLP DIR GENDER Mitigation,-0.1292744057479645
MLP Reweighed GENDER Mitigation,-0.1476401668015314
MLP AGE Mitigation,-0.0288527286319462
MLP DIR AGE Mitigation,-0.0615256923715381
MLP Reweighed AGE Mitigation,-0.0063894668867044
MLP AGE&GENDER Mitigation,0.107739890277972
MLP DIR AGE&GENDER Mitigation,0.1446667541327735
MLP Reweighed AGE&GENDER Mitigation,0.107230145975626
GRU GENDER Mitigation,-0.1554913535084802
GRU DIR GENDER Mitigation,-0.1459376809544522
GRU Reweighed GENDER Mitigation,-0.1409172939238628
GRU AGE Mitigation,-0.0609094247544473
GRU DIR AGE Mitigation,-0.0119045458263725
GRU Reweighed AGE Mitigation,-0.0341285887187708
GRU AGE&GENDER Mitigation,0.0422068172068171
GRU DIR AGE&GENDER Mitigation,0.0541356492969395
GRU Reweighed AGE&GENDER Mitigation,0.091829129966545
LSTM GENDER Mitigation,-0.1535739524442966
LSTM DIR GENDER Mitigation,-0.1442694105737583
LSTM Reweighed GENDER Mitigation,-0.1180957970584959
LSTM AGE Mitigation,-0.0575725833206695
LSTM DIR AGE Mitigation,-0.0316436682622017
LSTM Reweighed AGE Mitigation,-0.0387245062363128
LSTM AGE&GENDER Mitigation,0.0504475254475254
LSTM DIR AGE&GENDER Mitigation,0.107025118479731
LSTM Reweighed AGE&GENDER Mitigation,0.1202570285716619
LSTM GENDER Mitigation,-0.1512928167608912
RNN DIR GENDER Mitigation,-0.1340713219743694
RNN Reweighed GENDER Mitigation,-0.1622520267493555
LSTM AGE Mitigation,-0.0376677872391675
RNN DIR AGE Mitigation,-0.0519330296749531
RNN Reweighed AGE Mitigation,0.0005539006155826
LSTM AGE&GENDER Mitigation,0.0819917319917319
RNN DIR AGE&GENDER Mitigation,0.0799424802996037
RNN Reweighed AGE&GENDER Mitigation,0.1019592883406979
CNN GENDER Mitigation,-0.1959542317924842
CNN DIR GENDER Mitigation,-0.1758820254076255
CNN Reweighed GENDER Mitigation,-0.2039843768606064
CNN AGE Mitigation,-0.0019356537369397
CNN DIR AGE Mitigation,0.0214757997168746
CNN Reweighed AGE Mitigation,0.0053463524193891
CNN AGE&GENDER Mitigation,0.0861978861978861
CNN DIR AGE&GENDER Mitigation,0.0752440140694991
CNN Reweighed AGE&GENDER Mitigation,0.1272453133120976
RFC GENDER Mitigation,-0.1959542317924842
RFC DIR GENDER Mitigation,-0.150012895398046
RFC Reweighed GENDER Mitigation,-0.1081860711373303
RFC AGE Mitigation,-0.0019356537369397
RFC DIR AGE Mitigation,-0.0368761156964909
RFC Reweighed AGE Mitigation,-0.0588822823553016
RFC AGE&GENDER Mitigation,0.0861978861978861
RFC DIR AGE&GENDER Mitigation,0.1055848939012706
RFC Reweighed AGE&GENDER Mitigation,0.1205231534721792
