Description,False Positive Rate Ratio
Ideal Values,1.0
MLP GENDER Mitigation,0.7568191819656068
MLP DIR GENDER Mitigation,0.7614918898853423
MLP Reweighed GENDER Mitigation,0.7398962468032584
MLP AGE Mitigation,0.9430747295968536
MLP DIR AGE Mitigation,0.8862900669681018
MLP Reweighed AGE Mitigation,0.9872017821212992
MLP AGE&GENDER Mitigation,1.1765265787559689
MLP DIR AGE&GENDER Mitigation,1.2427808664061208
MLP Reweighed AGE&GENDER Mitigation,1.1724133290267011
GRU GENDER Mitigation,0.7206914575866188
GRU DIR GENDER Mitigation,0.7376440493194647
GRU Reweighed GENDER Mitigation,0.7452903372737689
GRU AGE Mitigation,0.8800836553488848
GRU DIR AGE Mitigation,0.9761290811498564
GRU Reweighed AGE Mitigation,0.9316104129069052
GRU AGE&GENDER Mitigation,1.0684875591507916
GRU DIR AGE&GENDER Mitigation,1.0895042735042737
GRU Reweighed AGE&GENDER Mitigation,1.1505046912121983
LSTM GENDER Mitigation,0.7249315935446643
LSTM DIR GENDER Mitigation,0.739594571639756
LSTM Reweighed GENDER Mitigation,0.7866135954516421
LSTM AGE Mitigation,0.8870331063865982
LSTM DIR AGE Mitigation,0.9374795967829692
LSTM Reweighed AGE Mitigation,0.9240857432119456
LSTM AGE&GENDER Mitigation,1.0816491741347232
LSTM DIR AGE&GENDER Mitigation,1.1739243332137197
LSTM Reweighed AGE&GENDER Mitigation,1.1963730207155934
LSTM GENDER Mitigation,0.7301075268817204
RNN DIR GENDER Mitigation,0.7626616563680633
RNN Reweighed GENDER Mitigation,0.7121458160729081
LSTM AGE Mitigation,0.9259832497271608
RNN DIR AGE Mitigation,0.8993336059855174
RNN Reweighed AGE Mitigation,1.0010748340712394
LSTM AGE&GENDER Mitigation,1.1326182057889371
RNN DIR AGE&GENDER Mitigation,1.1339289190914186
RNN Reweighed AGE&GENDER Mitigation,1.1670254131370643
CNN GENDER Mitigation,0.6838659378981959
CNN DIR GENDER Mitigation,0.7048839112801311
CNN Reweighed GENDER Mitigation,0.6739340642606974
CNN AGE Mitigation,0.9964405864630872
CNN DIR AGE Mitigation,1.039445152488826
CNN Reweighed AGE Mitigation,1.010049571535803
CNN AGE&GENDER Mitigation,1.1280770478883686
CNN DIR AGE&GENDER Mitigation,1.113432959124664
CNN Reweighed AGE&GENDER Mitigation,1.1911756974489496
RFC GENDER Mitigation,0.6838659378981959
RFC DIR GENDER Mitigation,0.7360084127643832
RFC Reweighed GENDER Mitigation,0.8014506086543464
RFC AGE Mitigation,0.9964405864630872
RFC DIR AGE Mitigation,0.9280538741309072
RFC Reweighed AGE Mitigation,0.8846176313865889
RFC AGE&GENDER Mitigation,1.1280770478883686
RFC DIR AGE&GENDER Mitigation,1.1705917955255138
RFC Reweighed AGE&GENDER Mitigation,1.1936864773552245
