Description,False Positive Rate
Ideal Values,0.0
MLP GENDER Mitigation,0.5010971474167165
MLP DIR GENDER Mitigation,0.4905094905094905
MLP Reweighed GENDER Mitigation,0.5092374213836478
MLP AGE Mitigation,0.5010971474167165
MLP DIR AGE Mitigation,0.5292028413575375
MLP Reweighed AGE Mitigation,0.4979846835953244
MLP AGE&GENDER Mitigation,0.5010971474167165
MLP DIR AGE&GENDER Mitigation,0.4934393638170974
MLP Reweighed AGE&GENDER Mitigation,0.4985050827187562
GRU GENDER Mitigation,0.4960691823899371
GRU DIR GENDER Mitigation,0.498
GRU Reweighed GENDER Mitigation,0.4981221585293536
GRU AGE Mitigation,0.4960691823899371
GRU DIR AGE Mitigation,0.4965344628417404
GRU Reweighed AGE Mitigation,0.4924731182795699
GRU AGE&GENDER Mitigation,0.4960691823899371
GRU DIR AGE&GENDER Mitigation,0.4932286555446516
GRU Reweighed AGE&GENDER Mitigation,0.4943729903536977
LSTM GENDER Mitigation,0.4984276729559748
LSTM DIR GENDER Mitigation,0.4954972592012529
LSTM Reweighed GENDER Mitigation,0.5062166962699822
LSTM AGE Mitigation,0.4984276729559748
LSTM DIR AGE Mitigation,0.5
LSTM Reweighed AGE Mitigation,0.5026908511062388
LSTM AGE&GENDER Mitigation,0.4984276729559748
LSTM DIR AGE&GENDER Mitigation,0.5146152316563929
LSTM Reweighed AGE&GENDER Mitigation,0.4972527472527472
LSTM GENDER Mitigation,0.5015723270440252
RNN DIR GENDER Mitigation,0.5129165845000986
RNN Reweighed GENDER Mitigation,0.4992006394884092
LSTM AGE Mitigation,0.5015723270440252
RNN DIR AGE Mitigation,0.5058128078817734
RNN Reweighed AGE Mitigation,0.5154394299287411
LSTM AGE&GENDER Mitigation,0.5015723270440252
RNN DIR AGE&GENDER Mitigation,0.4888626059530849
RNN Reweighed AGE&GENDER Mitigation,0.4996036464526358
CNN GENDER Mitigation,0.543435534591195
CNN DIR GENDER Mitigation,0.5290973871733967
CNN Reweighed GENDER Mitigation,0.5468477206595538
CNN AGE Mitigation,0.543435534591195
CNN DIR AGE Mitigation,0.5485692038154565
CNN Reweighed AGE Mitigation,0.5330170027678924
CNN AGE&GENDER Mitigation,0.543435534591195
CNN DIR AGE&GENDER Mitigation,0.544950495049505
CNN Reweighed AGE&GENDER Mitigation,0.5371428571428571
RFC GENDER Mitigation,0.543435534591195
RFC DIR GENDER Mitigation,0.5085748078060319
RFC Reweighed GENDER Mitigation,0.5014878000396746
RFC AGE Mitigation,0.543435534591195
RFC DIR AGE Mitigation,0.5057677008750995
RFC Reweighed AGE Mitigation,0.4994064107637515
RFC AGE&GENDER Mitigation,0.543435534591195
RFC DIR AGE&GENDER Mitigation,0.5084512578616353
RFC Reweighed AGE&GENDER Mitigation,0.5076489533011272
