Description,Generalized Entropy Index
Ideal Values,
MLP GENDER Mitigation,0.242904765046009
MLP DIR GENDER Mitigation,0.2395589383294301
MLP Reweighed GENDER Mitigation,0.2327377976238479
MLP AGE Mitigation,0.242904765046009
MLP DIR AGE Mitigation,0.2348628401090299
MLP Reweighed AGE Mitigation,0.2484724786368136
MLP AGE&GENDER Mitigation,0.242904765046009
MLP DIR AGE&GENDER Mitigation,0.2340182588967987
MLP Reweighed AGE&GENDER Mitigation,0.2380194880163771
GRU GENDER Mitigation,0.2402364864130828
GRU DIR GENDER Mitigation,0.2471329657743836
GRU Reweighed GENDER Mitigation,0.2358680759846778
GRU AGE Mitigation,0.2402364864130828
GRU DIR AGE Mitigation,0.2298491706049062
GRU Reweighed AGE Mitigation,0.2347361893536113
GRU AGE&GENDER Mitigation,0.2402364864130828
GRU DIR AGE&GENDER Mitigation,0.2378459063487503
GRU Reweighed AGE&GENDER Mitigation,0.2393779443308268
LSTM GENDER Mitigation,0.2392002416370821
LSTM DIR GENDER Mitigation,0.2409112250555584
LSTM Reweighed GENDER Mitigation,0.2377035835615692
LSTM AGE Mitigation,0.2392002416370821
LSTM DIR AGE Mitigation,0.2395733753677975
LSTM Reweighed AGE Mitigation,0.2352107333519082
LSTM AGE&GENDER Mitigation,0.2392002416370821
LSTM DIR AGE&GENDER Mitigation,0.2448631924506706
LSTM Reweighed AGE&GENDER Mitigation,0.2337216413576021
LSTM GENDER Mitigation,0.2407356439304993
RNN DIR GENDER Mitigation,0.242464056161397
RNN Reweighed GENDER Mitigation,0.2385853457386575
LSTM AGE Mitigation,0.2407356439304993
RNN DIR AGE Mitigation,0.2314185881395561
RNN Reweighed AGE Mitigation,0.2414137440824154
LSTM AGE&GENDER Mitigation,0.2407356439304993
RNN DIR AGE&GENDER Mitigation,0.2430560557991391
RNN Reweighed AGE&GENDER Mitigation,0.2405197092746909
CNN GENDER Mitigation,0.2431092686029868
CNN DIR GENDER Mitigation,0.2392858843523451
CNN Reweighed GENDER Mitigation,0.2343449777536842
CNN AGE Mitigation,0.2431092686029868
CNN DIR AGE Mitigation,0.2419255180026155
CNN Reweighed AGE Mitigation,0.2448668004135196
CNN AGE&GENDER Mitigation,0.2431092686029868
CNN DIR AGE&GENDER Mitigation,0.237570919247158
CNN Reweighed AGE&GENDER Mitigation,0.2433827479369466
RFC GENDER Mitigation,0.2431092686029868
RFC DIR GENDER Mitigation,0.2378992900916853
RFC Reweighed GENDER Mitigation,0.2431118707502205
RFC AGE Mitigation,0.2431092686029868
RFC DIR AGE Mitigation,0.2354223504570275
RFC Reweighed AGE Mitigation,0.2404273051467063
RFC AGE&GENDER Mitigation,0.2431092686029868
RFC DIR AGE&GENDER Mitigation,0.2369570446350194
RFC Reweighed AGE&GENDER Mitigation,0.2416679749425563
