Description,Mean Difference
Ideal Values,0.0
MLP GENDER Mitigation,-0.1046934023222362
MLP DIR GENDER Mitigation,-0.1195588385558159
MLP Reweighed GENDER Mitigation,-0.1266322739645405
MLP AGE Mitigation,0.0884938003267556
MLP DIR AGE Mitigation,0.0518367089091738
MLP Reweighed AGE Mitigation,0.0755137760309202
MLP AGE&GENDER Mitigation,0.0603381556453086
MLP DIR AGE&GENDER Mitigation,0.0786706067073331
MLP Reweighed AGE&GENDER Mitigation,0.0382605625687804
GRU GENDER Mitigation,-0.1102120525024004
GRU DIR GENDER Mitigation,-0.1216567393371086
GRU Reweighed GENDER Mitigation,-0.1332681223703495
GRU AGE Mitigation,0.0664096371992815
GRU DIR AGE Mitigation,0.0849764204473809
GRU Reweighed AGE Mitigation,0.057135917830061
GRU AGE&GENDER Mitigation,0.0319009099314204
GRU DIR AGE&GENDER Mitigation,0.0143914912208711
GRU Reweighed AGE&GENDER Mitigation,0.0505303843592436
LSTM GENDER Mitigation,-0.1088832473695543
LSTM DIR GENDER Mitigation,-0.1160004881806598
LSTM Reweighed GENDER Mitigation,-0.0951741897099653
LSTM AGE Mitigation,0.0718498722991189
LSTM DIR AGE Mitigation,0.0669789212268718
LSTM Reweighed AGE Mitigation,0.0585404807285806
LSTM AGE&GENDER Mitigation,0.0410749362612185
LSTM DIR AGE&GENDER Mitigation,0.0488687267758195
LSTM Reweighed AGE&GENDER Mitigation,0.0523313568820494
LSTM GENDER Mitigation,-0.1084906057975168
RNN DIR GENDER Mitigation,-0.1216160888292035
RNN Reweighed GENDER Mitigation,-0.1279757358401274
LSTM AGE Mitigation,0.087646012565885
RNN DIR AGE Mitigation,0.0646350842106231
RNN Reweighed AGE Mitigation,0.1024731328678735
LSTM AGE&GENDER Mitigation,0.0598171732044964
RNN DIR AGE&GENDER Mitigation,0.0178152917703582
RNN Reweighed AGE&GENDER Mitigation,0.0476887618390289
CNN GENDER Mitigation,-0.1418058293940186
CNN DIR GENDER Mitigation,-0.1437221761710732
CNN Reweighed GENDER Mitigation,-0.1678241842536219
CNN AGE Mitigation,0.1018617989399198
CNN DIR AGE Mitigation,0.0879728935203958
CNN Reweighed AGE Mitigation,0.0825322155647447
CNN AGE&GENDER Mitigation,0.0409037209751177
CNN DIR AGE&GENDER Mitigation,0.0355549306167
CNN Reweighed AGE&GENDER Mitigation,0.003773923091444
RFC GENDER Mitigation,-0.1418058293940186
RFC DIR GENDER Mitigation,-0.1192110120282954
RFC Reweighed GENDER Mitigation,-0.0880714960436636
RFC AGE Mitigation,0.1018617989399198
RFC DIR AGE Mitigation,0.0718261297430667
RFC Reweighed AGE Mitigation,0.0463635293623263
RFC AGE&GENDER Mitigation,0.0409037209751177
RFC DIR AGE&GENDER Mitigation,0.051054707832786
RFC Reweighed AGE&GENDER Mitigation,0.0494354454094899
