Description,Negative Predictive Value
Ideal Values,
MLP GENDER Mitigation,0.5012024048096192
MLP DIR GENDER Mitigation,0.5094905094905094
MLP Reweighed GENDER Mitigation,0.511890118901189
MLP AGE Mitigation,0.5012024048096192
MLP DIR AGE Mitigation,0.4981210855949896
MLP Reweighed AGE Mitigation,0.4944422389837237
MLP AGE&GENDER Mitigation,0.5012024048096192
MLP DIR AGE&GENDER Mitigation,0.5153721682847896
MLP Reweighed AGE&GENDER Mitigation,0.5078724263221639
GRU GENDER Mitigation,0.5102487562189054
GRU DIR GENDER Mitigation,0.4977196113424549
GRU Reweighed GENDER Mitigation,0.5125151392813888
GRU AGE Mitigation,0.5102487562189054
GRU DIR AGE Mitigation,0.526686807653575
GRU Reweighed AGE Mitigation,0.5193038607721544
GRU AGE&GENDER Mitigation,0.5102487562189054
GRU DIR AGE&GENDER Mitigation,0.5145476285372659
GRU Reweighed AGE&GENDER Mitigation,0.5063393036828335
LSTM GENDER Mitigation,0.5101959216313474
LSTM DIR GENDER Mitigation,0.510802775024777
LSTM Reweighed GENDER Mitigation,0.5068881685575365
LSTM AGE Mitigation,0.5101959216313474
LSTM DIR AGE Mitigation,0.5074267362505018
LSTM Reweighed AGE Mitigation,0.5088721191107485
LSTM AGE&GENDER Mitigation,0.5101959216313474
LSTM DIR AGE&GENDER Mitigation,0.4931313131313131
LSTM Reweighed AGE&GENDER Mitigation,0.5171578522406136
LSTM GENDER Mitigation,0.5069972011195522
RNN DIR GENDER Mitigation,0.4985870004037142
RNN Reweighed GENDER Mitigation,0.5062626262626263
LSTM AGE Mitigation,0.5069972011195522
RNN DIR AGE Mitigation,0.5144615384615384
RNN Reweighed AGE Mitigation,0.4974598658809185
LSTM AGE&GENDER Mitigation,0.5069972011195522
RNN DIR AGE&GENDER Mitigation,0.5100314712824547
RNN Reweighed AGE&GENDER Mitigation,0.506113449589096
CNN GENDER Mitigation,0.4823504983388704
CNN DIR GENDER Mitigation,0.4925465838509317
CNN Reweighed GENDER Mitigation,0.4931391175849693
CNN AGE Mitigation,0.4823504983388704
CNN DIR AGE Mitigation,0.4830243699229327
CNN Reweighed AGE Mitigation,0.4848111658456486
CNN AGE&GENDER Mitigation,0.4823504983388704
CNN DIR AGE&GENDER Mitigation,0.485629754860524
CNN Reweighed AGE&GENDER Mitigation,0.4849298100743187
RFC GENDER Mitigation,0.4823504983388704
RFC DIR GENDER Mitigation,0.5057821059038344
RFC Reweighed GENDER Mitigation,0.5021982414068745
RFC AGE Mitigation,0.4823504983388704
RFC DIR AGE Mitigation,0.5076608784473953
RFC Reweighed AGE Mitigation,0.5067093931504105
RFC AGE&GENDER Mitigation,0.4823504983388704
RFC DIR AGE&GENDER Mitigation,0.507611122386848
RFC Reweighed AGE&GENDER Mitigation,0.4969524583502641
