Description,Number of False Negatives
Ideal Values,
MLP GENDER Mitigation,2489.0
MLP DIR GENDER Mitigation,2455.0
MLP Reweighed GENDER Mitigation,2381.0
MLP AGE Mitigation,2489.0
MLP DIR AGE Mitigation,2404.0
MLP Reweighed AGE Mitigation,2547.0
MLP AGE&GENDER Mitigation,2489.0
MLP DIR AGE&GENDER Mitigation,2396.0
MLP Reweighed AGE&GENDER Mitigation,2438.0
GRU GENDER Mitigation,2461.0
GRU DIR GENDER Mitigation,2533.0
GRU Reweighed GENDER Mitigation,2415.0
GRU AGE Mitigation,2461.0
GRU DIR AGE Mitigation,2350.0
GRU Reweighed AGE Mitigation,2403.0
GRU AGE&GENDER Mitigation,2461.0
GRU DIR AGE&GENDER Mitigation,2436.0
GRU Reweighed AGE&GENDER Mitigation,2453.0
LSTM GENDER Mitigation,2450.0
LSTM DIR GENDER Mitigation,2468.0
LSTM Reweighed GENDER Mitigation,2434.0
LSTM AGE Mitigation,2450.0
LSTM DIR AGE Mitigation,2454.0
LSTM Reweighed AGE Mitigation,2408.0
LSTM AGE&GENDER Mitigation,2450.0
LSTM DIR AGE&GENDER Mitigation,2509.0
LSTM Reweighed AGE&GENDER Mitigation,2392.0
LSTM GENDER Mitigation,2466.0
RNN DIR GENDER Mitigation,2484.0
RNN Reweighed GENDER Mitigation,2444.0
LSTM AGE Mitigation,2466.0
RNN DIR AGE Mitigation,2367.0
RNN Reweighed AGE Mitigation,2473.0
LSTM AGE&GENDER Mitigation,2466.0
RNN DIR AGE&GENDER Mitigation,2491.0
RNN Reweighed AGE&GENDER Mitigation,2464.0
CNN GENDER Mitigation,2493.0
CNN DIR GENDER Mitigation,2451.0
CNN Reweighed GENDER Mitigation,2401.0
CNN AGE Mitigation,2493.0
CNN DIR AGE Mitigation,2482.0
CNN Reweighed AGE Mitigation,2510.0
CNN AGE&GENDER Mitigation,2493.0
CNN DIR AGE&GENDER Mitigation,2434.0
CNN Reweighed AGE&GENDER Mitigation,2495.0
RFC GENDER Mitigation,2493.0
RFC DIR GENDER Mitigation,2436.0
RFC Reweighed GENDER Mitigation,2491.0
RFC AGE Mitigation,2493.0
RFC DIR AGE Mitigation,2410.0
RFC Reweighed AGE Mitigation,2463.0
RFC AGE&GENDER Mitigation,2493.0
RFC DIR AGE&GENDER Mitigation,2426.0
RFC Reweighed AGE&GENDER Mitigation,2476.0
