Description,Positive Predictive Value
Ideal Values,
MLP GENDER Mitigation,0.5222518067706352
MLP DIR GENDER Mitigation,0.5317566278847988
MLP Reweighed GENDER Mitigation,0.5175046554934823
MLP AGE Mitigation,0.5222518067706352
MLP DIR AGE Mitigation,0.5086112128984976
MLP Reweighed AGE Mitigation,0.5257197696737044
MLP AGE&GENDER Mitigation,0.5222518067706352
MLP DIR AGE&GENDER Mitigation,0.532051282051282
MLP Reweighed AGE&GENDER Mitigation,0.527578390630903
GRU GENDER Mitigation,0.5167528240474822
GRU DIR GENDER Mitigation,0.521613832853026
GRU Reweighed GENDER Mitigation,0.5239894219871553
GRU AGE Mitigation,0.5167528240474822
GRU DIR AGE Mitigation,0.5118303993942835
GRU Reweighed AGE Mitigation,0.5200990664888551
GRU AGE&GENDER Mitigation,0.5167528240474822
GRU DIR AGE&GENDER Mitigation,0.5195028680688336
GRU Reweighed AGE&GENDER Mitigation,0.5340026520174276
LSTM GENDER Mitigation,0.5165840640487991
LSTM DIR GENDER Mitigation,0.5135498750720738
LSTM Reweighed GENDER Mitigation,0.5171310240963856
LSTM AGE Mitigation,0.5165840640487991
LSTM DIR AGE Mitigation,0.5199392328142803
LSTM Reweighed AGE Mitigation,0.5281571562207671
LSTM AGE&GENDER Mitigation,0.5165840640487991
LSTM DIR AGE&GENDER Mitigation,0.5115137787844469
LSTM Reweighed AGE&GENDER Mitigation,0.5213449187759728
LSTM GENDER Mitigation,0.5135341212352268
RNN DIR GENDER Mitigation,0.5086890819795995
RNN Reweighed GENDER Mitigation,0.5285013212533032
LSTM AGE Mitigation,0.5135341212352268
RNN DIR AGE Mitigation,0.5222408337986227
RNN Reweighed AGE Mitigation,0.5111695137976346
LSTM AGE&GENDER Mitigation,0.5135341212352268
RNN DIR AGE&GENDER Mitigation,0.5197521301316809
RNN Reweighed AGE&GENDER Mitigation,0.5206312987259936
CNN GENDER Mitigation,0.4909793814432989
CNN DIR GENDER Mitigation,0.5066445182724253
CNN Reweighed GENDER Mitigation,0.4884775902739974
CNN AGE Mitigation,0.4909793814432989
CNN DIR AGE Mitigation,0.4826510005507619
CNN Reweighed AGE Mitigation,0.4985119047619047
CNN AGE&GENDER Mitigation,0.4909793814432989
CNN DIR AGE&GENDER Mitigation,0.5010877447425671
CNN Reweighed AGE&GENDER Mitigation,0.4955588452997779
RFC GENDER Mitigation,0.4909793814432989
RFC DIR GENDER Mitigation,0.514946418499718
RFC Reweighed GENDER Mitigation,0.5179252479023646
RFC AGE Mitigation,0.4909793814432989
RFC DIR AGE Mitigation,0.5249392863814684
RFC Reweighed AGE Mitigation,0.5196955280685062
RFC AGE&GENDER Mitigation,0.4909793814432989
RFC DIR AGE&GENDER Mitigation,0.5138131930088329
RFC Reweighed AGE&GENDER Mitigation,0.5264739016147202
