Description,Power
Ideal Values,
MLP GENDER Mitigation,2746.0
MLP DIR GENDER Mitigation,2788.0
MLP Reweighed GENDER Mitigation,2779.0
MLP AGE Mitigation,2746.0
MLP DIR AGE Mitigation,2776.0
MLP Reweighed AGE Mitigation,2739.0
MLP AGE&GENDER Mitigation,2746.0
MLP DIR AGE&GENDER Mitigation,2822.0
MLP Reweighed AGE&GENDER Mitigation,2793.0
GRU GENDER Mitigation,2699.0
GRU DIR GENDER Mitigation,2715.0
GRU Reweighed GENDER Mitigation,2774.0
GRU AGE Mitigation,2699.0
GRU DIR AGE Mitigation,2704.0
GRU Reweighed AGE Mitigation,2730.0
GRU AGE&GENDER Mitigation,2699.0
GRU DIR AGE&GENDER Mitigation,2717.0
GRU Reweighed AGE&GENDER Mitigation,2819.0
LSTM GENDER Mitigation,2710.0
LSTM DIR GENDER Mitigation,2672.0
LSTM Reweighed GENDER Mitigation,2747.0
LSTM AGE Mitigation,2710.0
LSTM DIR AGE Mitigation,2738.0
LSTM Reweighed AGE Mitigation,2823.0
LSTM AGE&GENDER Mitigation,2710.0
LSTM DIR AGE&GENDER Mitigation,2710.0
LSTM Reweighed AGE&GENDER Mitigation,2760.0
LSTM GENDER Mitigation,2694.0
RNN DIR GENDER Mitigation,2693.0
RNN Reweighed GENDER Mitigation,2800.0
LSTM AGE Mitigation,2694.0
RNN DIR AGE Mitigation,2806.0
RNN Reweighed AGE Mitigation,2723.0
LSTM AGE&GENDER Mitigation,2694.0
RNN DIR AGE&GENDER Mitigation,2684.0
RNN Reweighed AGE&GENDER Mitigation,2738.0
CNN GENDER Mitigation,2667.0
CNN DIR GENDER Mitigation,2745.0
CNN Reweighed GENDER Mitigation,2692.0
CNN AGE Mitigation,2667.0
CNN DIR AGE Mitigation,2629.0
CNN Reweighed AGE Mitigation,2680.0
CNN AGE&GENDER Mitigation,2667.0
CNN DIR AGE&GENDER Mitigation,2764.0
CNN Reweighed AGE&GENDER Mitigation,2678.0
RFC GENDER Mitigation,2667.0
RFC DIR GENDER Mitigation,2739.0
RFC Reweighed GENDER Mitigation,2716.0
RFC AGE Mitigation,2667.0
RFC DIR AGE Mitigation,2810.0
RFC Reweighed AGE Mitigation,2731.0
RFC AGE&GENDER Mitigation,2667.0
RFC DIR AGE&GENDER Mitigation,2734.0
RFC Reweighed AGE&GENDER Mitigation,2804.0
