Description,Sensitivity
Ideal Values,
MLP GENDER Mitigation,0.5245463228271251
MLP DIR GENDER Mitigation,0.5317566278847988
MLP Reweighed GENDER Mitigation,0.5385658914728683
MLP AGE Mitigation,0.5245463228271251
MLP DIR AGE Mitigation,0.5359073359073359
MLP Reweighed AGE Mitigation,0.518161180476731
MLP AGE&GENDER Mitigation,0.5245463228271251
MLP DIR AGE&GENDER Mitigation,0.5408202376389422
MLP Reweighed AGE&GENDER Mitigation,0.5339323265150067
GRU GENDER Mitigation,0.523062015503876
GRU DIR GENDER Mitigation,0.5173399390243902
GRU Reweighed GENDER Mitigation,0.5345924070148391
GRU AGE Mitigation,0.523062015503876
GRU DIR AGE Mitigation,0.5350217649386625
GRU Reweighed AGE Mitigation,0.5318527177089422
GRU AGE&GENDER Mitigation,0.523062015503876
GRU DIR AGE&GENDER Mitigation,0.5272656704832137
GRU Reweighed AGE&GENDER Mitigation,0.534711684370258
LSTM GENDER Mitigation,0.5251937984496124
LSTM DIR GENDER Mitigation,0.5198443579766537
LSTM Reweighed GENDER Mitigation,0.5302065238370971
LSTM AGE Mitigation,0.5251937984496124
LSTM DIR AGE Mitigation,0.5273497688751926
LSTM Reweighed AGE Mitigation,0.5396673676161345
LSTM AGE&GENDER Mitigation,0.5251937984496124
LSTM DIR AGE&GENDER Mitigation,0.5192565625598774
LSTM Reweighed AGE&GENDER Mitigation,0.5357142857142857
LSTM GENDER Mitigation,0.522093023255814
RNN DIR GENDER Mitigation,0.520185435580452
RNN Reweighed GENDER Mitigation,0.5339435545385202
LSTM AGE Mitigation,0.522093023255814
RNN DIR AGE Mitigation,0.5424318577227915
RNN Reweighed AGE Mitigation,0.5240569668976135
LSTM AGE&GENDER Mitigation,0.522093023255814
RNN DIR AGE&GENDER Mitigation,0.5186473429951691
RNN Reweighed AGE&GENDER Mitigation,0.5263360246059208
CNN GENDER Mitigation,0.516860465116279
CNN DIR GENDER Mitigation,0.5282909930715936
CNN Reweighed GENDER Mitigation,0.528568623601021
CNN AGE Mitigation,0.516860465116279
CNN DIR AGE Mitigation,0.5143807474075524
CNN Reweighed AGE Mitigation,0.5163776493256262
CNN AGE&GENDER Mitigation,0.516860465116279
CNN DIR AGE&GENDER Mitigation,0.5317429780684879
CNN Reweighed AGE&GENDER Mitigation,0.5176879953605258
RFC GENDER Mitigation,0.516860465116279
RFC DIR GENDER Mitigation,0.5292753623188405
RFC Reweighed GENDER Mitigation,0.5216055310159401
RFC AGE Mitigation,0.516860465116279
RFC DIR AGE Mitigation,0.5383141762452107
RFC Reweighed AGE Mitigation,0.525798998844821
RFC AGE&GENDER Mitigation,0.516860465116279
RFC DIR AGE&GENDER Mitigation,0.5298449612403101
RFC Reweighed AGE&GENDER Mitigation,0.531060606060606
