Description,Smoothed Empirical Differential Fairness
Ideal Values,0.0
MLP GENDER Mitigation,0.2953129838950408
MLP DIR GENDER Mitigation,0.2685798251133557
MLP Reweighed GENDER Mitigation,0.2695696172476579
MLP AGE Mitigation,0.0235594819690461
MLP DIR AGE Mitigation,0.0066649823756917
MLP Reweighed AGE Mitigation,0.0129806549142872
MLP AGE&GENDER Mitigation,0.6663255847219416
MLP DIR AGE&GENDER Mitigation,0.6576667831010592
MLP Reweighed AGE&GENDER Mitigation,0.7415566804656484
GRU GENDER Mitigation,0.2934255907734742
GRU DIR GENDER Mitigation,0.2770132819149202
GRU Reweighed GENDER Mitigation,0.2850466519712943
GRU AGE Mitigation,0.0251226023864274
GRU DIR AGE Mitigation,0.0207930933032404
GRU Reweighed AGE Mitigation,0.0123232449429877
GRU AGE&GENDER Mitigation,0.6896713627602191
GRU DIR AGE&GENDER Mitigation,0.7329657216230243
GRU Reweighed AGE&GENDER Mitigation,0.6252399035025897
LSTM GENDER Mitigation,0.2934255907734742
LSTM DIR GENDER Mitigation,0.2576927377879406
LSTM Reweighed GENDER Mitigation,0.2731625509688126
LSTM AGE Mitigation,0.0251226023864274
LSTM DIR AGE Mitigation,0.037488003905831
LSTM Reweighed AGE Mitigation,0.0190097261583785
LSTM AGE&GENDER Mitigation,0.6896713627602191
LSTM DIR AGE&GENDER Mitigation,0.7226475208066415
LSTM Reweighed AGE&GENDER Mitigation,0.7180706031817938
LSTM GENDER Mitigation,0.2934255907734742
RNN DIR GENDER Mitigation,0.2898980831597111
RNN Reweighed GENDER Mitigation,0.2693284474781097
LSTM AGE Mitigation,0.0251226023864274
RNN DIR AGE Mitigation,0.0238866695587972
RNN Reweighed AGE Mitigation,5.373697808552791e-05
LSTM AGE&GENDER Mitigation,0.6896713627602191
RNN DIR AGE&GENDER Mitigation,0.7118501994275146
RNN Reweighed AGE&GENDER Mitigation,0.7053555907193375
CNN GENDER Mitigation,0.2934255907734742
CNN DIR GENDER Mitigation,0.3308123441585213
CNN Reweighed GENDER Mitigation,0.3067241756066635
CNN AGE Mitigation,0.0251226023864274
CNN DIR AGE Mitigation,0.0524000159221343
CNN Reweighed AGE Mitigation,0.0378512671485082
CNN AGE&GENDER Mitigation,0.6896713627602191
CNN DIR AGE&GENDER Mitigation,0.6194228107449278
CNN Reweighed AGE&GENDER Mitigation,0.702795837309875
RFC GENDER Mitigation,0.2934255907734742
RFC DIR GENDER Mitigation,0.2648459908187799
RFC Reweighed GENDER Mitigation,0.2761079373403666
RFC AGE Mitigation,0.0251226023864274
RFC DIR AGE Mitigation,0.006076070561709
RFC Reweighed AGE Mitigation,0.0083948610038347
RFC AGE&GENDER Mitigation,0.6896713627602191
RFC DIR AGE&GENDER Mitigation,0.7509079059060768
RFC Reweighed AGE&GENDER Mitigation,0.659019383089607
