Description,Theil Index
Ideal Values,
MLP GENDER Mitigation,0.3368070922506224
MLP DIR GENDER Mitigation,0.3320992053619566
MLP Reweighed GENDER Mitigation,0.3231737998231049
MLP AGE Mitigation,0.3368070922506224
MLP DIR AGE Mitigation,0.326458714668693
MLP Reweighed AGE Mitigation,0.3442047636652372
MLP AGE&GENDER Mitigation,0.3368070922506224
MLP DIR AGE&GENDER Mitigation,0.3246006153080708
MLP Reweighed AGE&GENDER Mitigation,0.3301259766485643
GRU GENDER Mitigation,0.3332182829530699
GRU DIR GENDER Mitigation,0.3424578755534508
GRU Reweighed GENDER Mitigation,0.3272409647402478
GRU AGE Mitigation,0.3332182829530699
GRU DIR AGE Mitigation,0.3191479820934342
GRU Reweighed AGE Mitigation,0.3256871324292093
GRU AGE&GENDER Mitigation,0.3332182829530699
GRU DIR AGE&GENDER Mitigation,0.3299243753351609
GRU Reweighed AGE&GENDER Mitigation,0.3318656009935345
LSTM GENDER Mitigation,0.3318446539669128
LSTM DIR GENDER Mitigation,0.3341594196544412
LSTM Reweighed GENDER Mitigation,0.3298979955667218
LSTM AGE Mitigation,0.3318446539669128
LSTM DIR AGE Mitigation,0.332327612051688
LSTM Reweighed AGE Mitigation,0.3263465201686736
LSTM AGE&GENDER Mitigation,0.3318446539669128
LSTM DIR AGE&GENDER Mitigation,0.3397333289027722
LSTM Reweighed AGE&GENDER Mitigation,0.3243398096351548
LSTM GENDER Mitigation,0.333991035791755
RNN DIR GENDER Mitigation,0.3365254485448798
RNN Reweighed GENDER Mitigation,0.3308892731168799
LSTM AGE Mitigation,0.333991035791755
RNN DIR AGE Mitigation,0.3212747509610814
RNN Reweighed AGE Mitigation,0.3351071178408981
LSTM AGE&GENDER Mitigation,0.333991035791755
RNN DIR AGE&GENDER Mitigation,0.336915513321577
RNN Reweighed AGE&GENDER Mitigation,0.3335943579553823
CNN GENDER Mitigation,0.3381678466856769
CNN DIR GENDER Mitigation,0.3324906817629396
CNN Reweighed GENDER Mitigation,0.3264159586973813
CNN AGE Mitigation,0.3381678466856769
CNN DIR AGE Mitigation,0.3368413212318779
CNN Reweighed AGE Mitigation,0.3402119780294271
CNN AGE&GENDER Mitigation,0.3381678466856769
CNN DIR AGE&GENDER Mitigation,0.3305128238498424
CNN Reweighed AGE&GENDER Mitigation,0.3383389912174623
RFC GENDER Mitigation,0.3381678466856769
RFC DIR GENDER Mitigation,0.3302186728020891
RFC Reweighed GENDER Mitigation,0.3371400516899096
RFC AGE Mitigation,0.3381678466856769
RFC DIR AGE Mitigation,0.3267013990385489
RFC Reweighed AGE Mitigation,0.3334781044711258
RFC AGE&GENDER Mitigation,0.3381678466856769
RFC DIR AGE&GENDER Mitigation,0.3289543085584748
RFC Reweighed AGE&GENDER Mitigation,0.3351594417342185
