Description,Accuracy,Base Rate,Selection Rate,Disparate Impact,Statistical Parity Difference,Between Group Coefficient of Variation,Between Group Generalized Entropy Index,Between Group Theil Index,Mean Difference,Smoothed Empirical Differential Fairness,Consistency,Average Absolute Odds Difference,Average Odds Difference,Average Predictive Value Difference,Between All Groups Coefficient of Variation,Between All Groups Generalized Entropy Index,Between All Groups Theil Index,Coefficient of Variation,Differential Fairness Bias Amplification,Equal Opportunity Difference,Equalized Odds Difference,Error Rate,Error Rate Difference,Error Rate Ratio,False Discovery Rate,False Discovery Rate Difference,False Discovery Rate Ratio,False Negative Rate,False Negative Rate Difference,False Negative Rate Ratio,False Omission Rate,False Omission Rate Difference,False Omission Rate Ratio,False Positive Rate,False Positive Rate Difference,False Positive Rate Ratio,Generalized Entropy Index,Generalized Equalized Odds Difference,Generalized False Negative Rate,Generalized False Positive Rate,Generalized True Negative Rate,Generalized True Positive Rate,Negative Predictive Value,Number of False Negatives,Number of False Positives,Number of Generalized False Negatives,Number of Generalized False Positives,Number of Generalized True Negatives,Number of Generalized True Positives,Number of Instances,Number of Negatives,Number of Positives,Number of Predicted Negatives,Number of Predicted Positives,Number of True Negatives,Number of True Positives,Positive Predictive Value,Power,Precision,Recall,Sensitivity,Specificity,Theil Index,True Negative Rate,True Positive Rate,True Positive Rate Difference
Ideal Values,N/A,N/A,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N/A,0.0,0.0,0.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.0,0.0
MLP GENDER Mitigation,0.4913153786104606,0.5035128805620609,0.5241022638563623,0.7817210196375417,-0.12721732527105217,0.13202637204845236,0.008715481458138179,0.008801390039621234,-0.12721732527105217,0.2934255907734742,0.9519516003122567,0.12910037439337751,-0.12910037439337751,0.14129614129659754,0.13202637204845236,0.008715481458138179,0.008801390039621234,0.6985415094435878,-0.027317302088943007,-0.06775449837105835,0.19044625041569668,0.5086846213895394,-0.06324602090256981,0.8824152482006805,0.504933904300875,-0.2023731400999642,0.654731024635817,0.48468992248062015,0.06775449837105835,1.1510243389360433,0.5128152552798851,0.08021914249323087,1.1705119723170982,0.5330188679245284,-0.19044625041569668,0.6863951398990331,0.24398012020786305,0.19044625041569668,0.48468992248062015,0.5330188679245284,0.4669811320754717,0.5153100775193798,0.4871847447201148,2501.0,2712.0,2501.0,2712.0,2376.0,2659.0,10248.0,5088.0,5160.0,4877.0,5371.0,2376.0,2659.0,0.4950660956991249,2659.0,0.4950660956991249,0.5153100775193798,0.5153100775193798,0.4669811320754717,0.3390833620580935,0.4669811320754717,0.5153100775193798,-0.06775449837105835
MLP DIR GENDER Mitigation,0.4961943793911007,0.5080991412958626,0.5238095238095238,0.7820794938391173,-0.1269651376559951,0.12534254236540449,0.007855376463311609,0.007925425797024387,-0.1269651376559951,0.26494070782805434,0.9536299765807967,0.12938604895377545,-0.12938604895377545,0.12819166365949708,0.12534254236540449,0.007855376463311609,0.007925425797024387,0.6986428279861038,0.000593318797152742,-0.09044458369798625,0.16832751420956465,0.5038056206088992,-0.0398587353001334,0.9236815513797306,0.4959016393442623,-0.16697355827658905,0.7035178646667768,0.48031496062992124,0.09044458369798625,1.2090048994069569,0.5125,0.08940976904240511,1.1922142600387287,0.5280698274151954,-0.16832751420956465,0.7171538223835958,0.24405090054821027,0.16832751420956465,0.48031496062992124,0.5280698274151954,0.4719301725848046,0.5196850393700787,0.4875,2501.0,2662.0,2501.0,2662.0,2379.0,2706.0,10248.0,5041.0,5207.0,4880.0,5368.0,2379.0,2706.0,0.5040983606557377,2706.0,0.5040983606557377,0.5196850393700787,0.5196850393700787,0.4719301725848046,0.3389429796204396,0.4719301725848046,0.5196850393700787,-0.09044458369798625
MLP Reweighed GENDER Mitigation,0.501951600312256,0.5121975019516003,0.5145394223263076,0.7793455341477941,-0.12625810492189798,0.12780942345301127,0.008167624361695575,0.00825183464737102,-0.12625810492189798,0.27318815050020173,0.9528883684621395,0.1303387331748123,-0.1303387331748123,0.13320991087860695,0.12780942345301127,0.008167624361695575,0.00825183464737102,0.7040726742087382,-0.014626449947505837,-0.09995070431751651,0.16072676203210806,0.49804839968774395,-0.027476606248158064,0.9461872164650917,0.48625071117011187,-0.16320970008040087,0.703711621392503,0.4839016955610593,0.09995070431751657,1.2314116031027798,0.5105527638190954,0.1032101216768131,1.225961865656405,0.5129025805161033,-0.16072676203210806,0.720765870406896,0.247859165283722,0.16072676203210806,0.4839016955610593,0.5129025805161033,0.4870974194838968,0.5160983044389408,0.4894472361809045,2540.0,2564.0,2540.0,2564.0,2435.0,2709.0,10248.0,4999.0,5249.0,4975.0,5273.0,2435.0,2709.0,0.5137492888298881,2709.0,0.5137492888298881,0.5160983044389408,0.5160983044389408,0.4870974194838968,0.3436945736740279,0.4870974194838968,0.5160983044389408,-0.09995070431751651
MLP AGE Mitigation,0.4913153786104606,0.5035128805620609,0.5241022638563623,1.2170232534890524,0.10921828712129955,0.0468897392527276,0.0010993238235943918,0.0010736164581088147,0.10921828712129955,0.025122602386427495,0.9519516003122567,0.11274904418000894,0.10996489481719349,-0.03236512765906019,0.0468897392527276,0.0010993238235943918,0.0010736164581088147,0.6985415094435878,0.2230225775255027,0.22271393899720243,0.22271393899720243,0.5086846213895394,-0.1111966889514322,0.7901586379642067,0.504933904300875,-0.084778648974427,0.8381604290163386,0.48468992248062015,-0.2227139389972025,0.5768636892693549,0.5128152552798851,-0.14950890429254732,0.7210927641390388,0.5330188679245284,-0.002784149362815458,0.9947819487925641,0.24398012020786305,0.22271393899720243,0.48468992248062015,0.5330188679245284,0.4669811320754717,0.5153100775193798,0.4871847447201148,2501.0,2712.0,2501.0,2712.0,2376.0,2659.0,10248.0,5088.0,5160.0,4877.0,5371.0,2376.0,2659.0,0.4950660956991249,2659.0,0.4950660956991249,0.5153100775193798,0.5153100775193798,0.4669811320754717,0.3390833620580935,0.4669811320754717,0.5153100775193798,0.22271393899720243
MLP DIR AGE Mitigation,0.5028298204527712,0.5075136612021858,0.5282982045277127,1.1899459264358903,0.0968598432818778,0.04502235085373285,0.0010135060381983095,0.0009905559752402242,0.0968598432818778,0.04086147801170448,0.9503122560499616,0.09784746106058978,0.09784746106058978,-0.036564721225606056,0.04502235085373285,0.0010135060381983095,0.0009905559752402242,0.6904459500775567,0.1792071784628967,0.18195307675562322,0.18195307675562322,0.49717017954722875,-0.0819260421098229,0.8402076609389199,0.4902105652013299,-0.050917021909388294,0.8984297749475932,0.4693328206114209,-0.18195307675562328,0.638053996730149,0.5049648324369053,-0.12404646436060046,0.7635273489706585,0.5258569447196354,0.013741845365556338,1.0262667962757548,0.23835780498924997,0.18195307675562322,0.4693328206114209,0.5258569447196354,0.4741430552803646,0.5306671793885791,0.49503516756309474,2441.0,2654.0,2441.0,2654.0,2393.0,2760.0,10248.0,5047.0,5201.0,4834.0,5414.0,2393.0,2760.0,0.5097894347986701,2760.0,0.5097894347986701,0.5306671793885791,0.5306671793885791,0.4741430552803646,0.3311372582961101,0.4741430552803646,0.5306671793885791,0.18195307675562322
MLP Reweighed AGE Mitigation,0.48467993754879,0.501951600312256,0.5367876658860266,1.1377467905229102,0.07207584677727663,0.02702468610502548,0.00036516682953757865,0.00036006179571838046,0.07207584677727663,0.0009527262501051181,0.949629195940672,0.07181894984498266,0.07181894984498266,-0.007417940317366173,0.02702468610502548,0.00036516682953757865,0.00036006179571838046,0.6928751664507908,0.1628404586275397,0.13222009829273862,0.13222009829273862,0.51532006245121,-0.06075912313086418,0.8846491373589912,0.5124522814033812,-0.05430679866875848,0.896314726785426,0.4786158631415241,-0.13222009829273867,0.7373830953072898,0.5186433536970718,-0.06914267930349088,0.8695396331544214,0.5523119122257053,0.011417801397226701,1.0207532681249023,0.24003799814210555,0.13222009829273862,0.4786158631415241,0.5523119122257053,0.4476880877742947,0.5213841368584758,0.4813566463029282,2462.0,2819.0,2462.0,2819.0,2285.0,2682.0,10248.0,5104.0,5144.0,4747.0,5501.0,2285.0,2682.0,0.4875477185966188,2682.0,0.4875477185966188,0.5213841368584758,0.5213841368584758,0.4476880877742947,0.33425898544124527,0.4476880877742947,0.5213841368584758,0.13222009829273862
MLP AGE&GENDER Mitigation,0.4913153786104606,0.5035128805620609,0.5241022638563623,1.0899975828281978,0.05244713338915985,0.8834609865886495,0.39025165741209494,0.5760217029517788,0.05244713338915985,0.6896713627602191,0.9519516003122567,0.07692196432498968,0.07692196432498968,0.17630126695463688,0.14521737105944746,0.010544042428708626,0.010682535625146636,0.6985415094435878,-0.19419579714955837,0.08743758724363798,0.08743758724363798,0.5086846213895394,-0.05672518078777711,0.9031602330914376,0.504933904300875,-0.18816777041942606,0.6905989110707804,0.48468992248062015,-0.08743758724363787,0.8262593261813164,0.5128152552798851,0.16443476348984776,1.296561677248604,0.5330188679245284,0.06640634140634138,1.1012365277338054,0.24398012020786305,0.08743758724363798,0.48468992248062015,0.5330188679245284,0.4669811320754717,0.5153100775193798,0.4871847447201148,2501.0,2712.0,2501.0,2712.0,2376.0,2659.0,10248.0,5088.0,5160.0,4877.0,5371.0,2376.0,2659.0,0.4950660956991249,2659.0,0.4950660956991249,0.5153100775193798,0.5153100775193798,0.4669811320754717,0.3390833620580935,0.4669811320754717,0.5153100775193798,0.08743758724363798
MLP DIR AGE&GENDER Mitigation,0.4957064793130367,0.5060499609679937,0.5329820452771272,0.9899182884947075,-0.006165029859826365,0.8815491154772837,0.38856442149939063,0.5729778202228997,-0.006165029859826365,0.7163154467321009,0.9507611241217805,0.05516546253185084,0.025162776146170684,0.1933979296073118,0.15304754573307344,0.011711775627458601,0.011825137384846347,0.6910149106900028,-0.2701957272067857,-0.030002686385680155,0.08032823867802152,0.5042935206869633,0.007311208505601519,1.01340014442361,0.49835225192237276,-0.14508495837609764,0.7417275680064961,0.47165445430003855,0.030002686385680155,1.0697888574623429,0.511073965733389,0.24171090083852598,1.4646554273883465,0.5377321216910312,0.08032823867802152,1.1239168261701757,0.23875080339795623,0.08032823867802152,0.47165445430003855,0.5377321216910312,0.46226787830896876,0.5283455456999614,0.48892603426661096,2446.0,2722.0,2446.0,2722.0,2340.0,2740.0,10248.0,5062.0,5186.0,4786.0,5462.0,2340.0,2740.0,0.5016477480776272,2740.0,0.5016477480776272,0.5283455456999614,0.5283455456999614,0.46226787830896876,0.3319849436216646,0.46226787830896876,0.5283455456999614,-0.030002686385680155
MLP Reweighed AGE&GENDER Mitigation,0.5007806401249024,0.499512099921936,0.5201990632318502,0.9693700002693457,-0.017955969033374597,0.8876316279085034,0.3939449534317499,0.5788577834762596,-0.017955969033374597,0.6855056215121857,0.9500585480093683,0.04779222066930178,0.007836069432435755,0.17532639276859116,0.1435479742028153,0.01030301044886606,0.010386979715693521,0.6919375743244394,-0.32362386798068143,-0.03995615123686602,0.05562829010173753,0.4992193598750976,0.017506754014908643,1.0320010044058205,0.49971862689926844,-0.13256706796852785,0.7703958494097558,0.47899980464934555,0.03995615123686608,1.0874117647058823,0.4986780557250356,0.21808571756865447,1.4325925925925926,0.5193994930785728,0.05562829010173753,1.089349864189959,0.23938880338099452,0.05562829010173753,0.47899980464934555,0.5193994930785728,0.4806005069214272,0.5210001953506544,0.5013219442749645,2452.0,2664.0,2452.0,2664.0,2465.0,2667.0,10248.0,5129.0,5119.0,4917.0,5331.0,2465.0,2667.0,0.5002813731007316,2667.0,0.5002813731007316,0.5210001953506544,0.5210001953506544,0.4806005069214272,0.332591809401575,0.4806005069214272,0.5210001953506544,-0.03995615123686602
MLP GENDER Mitigation,0.5139539422326308,0.5035128805620609,0.5120023419203747,0.7971927796893663,-0.11456145445963128,0.12735434326978584,0.008109564374839224,0.008185790655800338,-0.11456145445963128,0.2934255907734742,0.9519516003122567,0.122107147943705,-0.122107147943705,0.1479371178567961,0.12735434326978584,0.008109564374839224,0.008185790655800338,0.6912500047083588,-0.0597553108568728,-0.08467509568787557,0.15953920019953444,0.4860460577673692,-0.03651482329213562,0.9273914252518903,0.4829426338860301,-0.18466880848775685,0.6689978861090637,0.4742248062015504,0.08467509568787562,1.1973027808788916,0.48930213957208557,0.11120542722583537,1.2577260914760915,0.49803459119496857,-0.15953920019953444,0.7152330779647182,0.23891328450465305,0.15953920019953444,0.4742248062015504,0.49803459119496857,0.5019654088050315,0.5257751937984496,0.5106978604279144,2447.0,2534.0,2447.0,2534.0,2554.0,2713.0,10248.0,5088.0,5160.0,5001.0,5247.0,2554.0,2713.0,0.5170573661139699,2713.0,0.5170573661139699,0.5257751937984496,0.5257751937984496,0.5019654088050315,0.33144670151177114,0.5019654088050315,0.5257751937984496,-0.08467509568787557
MLP DIR GENDER Mitigation,0.4961943793911007,0.5066354410616706,0.5166861826697893,0.7246542853069636,-0.16288967045153435,0.1489430910370072,0.011092022183829108,0.011224561704361096,-0.16288967045153435,0.2867908545442033,0.9519906323185018,0.16564176275046605,-0.16564176275046605,0.14122660353782387,0.1489430910370072,0.011092022183829108,0.011224561704361096,0.7026592503642496,0.04877915546767886,-0.14632956996905866,0.18495395553187344,0.5038056206088992,-0.017652016251705094,0.9655181503283559,0.497261567516525,-0.16045348046255004,0.7126926470667844,0.4872881355932203,0.14632956996905866,1.3568694288499132,0.5108015344235817,0.12199972661309771,1.27446903668877,0.5207674050632911,-0.18495395553187344,0.6880355643434503,0.24686501106122458,0.18495395553187344,0.4872881355932203,0.5207674050632911,0.47923259493670883,0.5127118644067796,0.48919846557641833,2530.0,2633.0,2530.0,2633.0,2423.0,2662.0,10248.0,5056.0,5192.0,4953.0,5295.0,2423.0,2662.0,0.5027384324834749,2662.0,0.5027384324834749,0.5127118644067796,0.5127118644067796,0.47923259493670883,0.3426332880983048,0.47923259493670883,0.5127118644067796,-0.14632956996905866
MLP Reweighed GENDER Mitigation,0.5,0.5056596409055425,0.5204918032786885,0.7486450605232332,-0.1479897741484587,0.13504359731876897,0.009118386588396914,0.009211334777865496,-0.1479897741484587,0.2607446617132889,0.9513661202185799,0.15102928811000463,-0.15102928811000463,0.1292636244964323,0.13504359731876897,0.009118386588396914,0.009211334777865496,0.6966188417283068,0.04658251789490864,-0.12919294754732358,0.17286562867268568,0.5,-0.021989259177517817,0.9568960544531611,0.4945631796025497,-0.15094729071312563,0.7273047833142533,0.4797375530683134,0.12919294754732352,1.3135183820519118,0.505901505901506,0.10757995827973899,1.2401243906538912,0.520726411369917,-0.17286562867268568,0.7067337972712414,0.24263890532544388,0.17286562867268568,0.4797375530683134,0.520726411369917,0.4792735886300829,0.5202624469316867,0.4940984940984941,2486.0,2638.0,2486.0,2638.0,2428.0,2696.0,10248.0,5066.0,5182.0,4914.0,5334.0,2428.0,2696.0,0.5054368203974503,2696.0,0.5054368203974503,0.5202624469316867,0.5202624469316867,0.4792735886300829,0.3369156550465553,0.4792735886300829,0.5202624469316867,-0.12919294754732358
MLP AGE Mitigation,0.5139539422326308,0.5035128805620609,0.5120023419203747,1.1439446130455697,0.07172927413221108,0.032843759032664496,0.0005393562536978653,0.000530390516979125,0.07172927413221108,0.025122602386427495,0.9519516003122567,0.12648460854601262,0.07315967560672282,-0.029164102940650555,0.032843759032664496,0.0005393562536978653,0.000530390516979125,0.6912500047083588,0.1290828252680689,0.19964428415273544,0.19964428415273544,0.4860460577673692,-0.1255515701437412,0.7538251076774883,0.4829426338860301,-0.09962992546416677,0.8023663696505343,0.4742248062015504,-0.19964428415273555,0.6097354277629424,0.48930213957208557,-0.15795813134546788,0.6937997081094379,0.49803459119496857,-0.053324932939289804,0.8951165385250742,0.23891328450465305,0.19964428415273544,0.4742248062015504,0.49803459119496857,0.5019654088050315,0.5257751937984496,0.5106978604279144,2447.0,2534.0,2447.0,2534.0,2554.0,2713.0,10248.0,5088.0,5160.0,5001.0,5247.0,2554.0,2713.0,0.5170573661139699,2713.0,0.5170573661139699,0.5257751937984496,0.5257751937984496,0.5019654088050315,0.33144670151177114,0.5019654088050315,0.5257751937984496,0.19964428415273544
