model,configuration,accuracy,total_params,trainable_params,non_trainable_params,optimizer_params,total_params_excluding_optimizer
MLP,64-256,0.8900,65839,21775,512,43552,22287
MLP,32-256,0.8389,40111,13199,512,26400,13711
MLP,64-128,0.8964,34095,11279,256,22560,11535
MLP,256-64,0.9007,61999,20623,128,41248,20751
MLP,256-32,0.8844,35631,11855,64,23712,11919
MLP,128-256,0.9126,117295,38927,512,77856,39439
MLP,32-128,0.8462,20655,6799,256,13600,7055
MLP,256-128,0.9124,114735,38159,256,76320,38415
MLP,128-32,0.8837,18735,6223,64,12448,6287
MLP,32-32,0.8422,6063,1999,64,4000,2063
MLP,32-64,0.8317,10927,3599,128,7200,3727
MLP,64-64,0.8787,18735,6223,64,12448,6287
MLP,64-32,0.8825,18735,6223,64,12448,6287
MLP,128-64,0.9001,32815,10895,128,21792,11023
MLP,128-128,0.9066,60975,20239,256,40480,20495
LSTM,64-256,0.9453,114223,37903,512,75808,38415
LSTM,32-256,0.9087,52015,17167,512,34336,17679
LSTM,64-128,0.9481,82479,27407,256,54816,27663
LSTM,256-64,0.9649,845359,281743,128,563488,281871
LSTM,256-32,0.9638,818991,272975,64,545952,273039
LSTM,128-256,0.9588,312367,103951,512,207904,104463
LSTM,32-128,0.9159,32559,10767,256,21536,11023
LSTM,256-128,0.9641,898095,299279,256,598560,299535
LSTM,128-32,0.9590,213807,71247,64,142496,71311
LSTM,32-32,0.9214,17967,5967,64,11936,6031
LSTM,32-64,0.9148,22831,7567,128,15136,7695
LSTM,64-64,0.9495,66607,22159,128,44320,22287
LSTM,64-32,0.9527,58671,19535,64,39072,19599
LSTM,128-64,0.9549,227887,75919,128,151840,76047
LSTM,128-128,0.9601,256047,85263,256,170528,85519
GRU,64-256,0.9478,102127,33871,512,67744,34383
GRU,32-256,0.9156,49039,16175,512,32352,16687
GRU,64-128,0.9469,70383,23375,256,46752,23631
GRU,256-64,0.9599,649519,216463,128,432928,216591
GRU,256-32,0.9612,623151,207695,64,415392,207759
GRU,128-256,0.9583,263599,87695,512,175392,88207
GRU,32-128,0.9212,29583,9775,256,19552,10031
GRU,256-128,0.9615,702255,233999,256,468000,234255
GRU,128-32,0.9580,165039,54991,64,109984,55055
GRU,32-32,0.9182,14991,4975,64,9952,5039
GRU,32-64,0.9127,19855,6575,128,13152,6703
GRU,64-64,0.9478,54511,18127,128,36256,18255
GRU,64-32,0.9454,46575,15503,64,31008,15567
GRU,128-64,0.9556,179119,59663,128,119328,59791
GRU,128-128,0.9563,207279,69007,256,138016,69263
RNN,64-256,0.9378,76207,25231,512,50464,25743
RNN,32-256,0.9122,42223,13903,512,27808,14415
RNN,64-128,0.9398,44463,14735,256,29472,14991
RNN,256-64,0.9586,250927,83599,128,167200,83727
RNN,256-32,0.9638,224559,74831,64,149664,74895
RNN,128-256,0.9535,162607,54031,512,108064,54543
RNN,32-128,0.9113,22767,7503,256,15008,7759
RNN,256-128,0.9516,303663,101135,256,202272,101391
RNN,128-32,0.9519,64047,21327,64,42656,21391
RNN,32-32,0.8941,8175,2703,64,5408,2767
RNN,32-64,0.9144,13039,4303,128,8608,4431
RNN,64-64,0.9315,28591,9487,128,18976,9615
CNN,32-256,0.9062,138095,45839,576,91680,46415
CNN,64-128,0.9023,131759,43791,384,87584,44175
CNN,256-64,0.8828,129839,43151,384,86304,43535
CNN,256-32,0.8063,66607,22095,320,44192,22415
CNN,128-256,0.9084,261807,87055,640,174112,87695
CNN,32-128,0.8941,69487,23055,320,46112,23375
CNN,256-128,0.8811,256303,85263,512,170528,85775
CNN,128-32,0.8199,66607,22095,320,44192,22415
CNN,32-32,0.8488,18031,5967,128,11936,6095
CNN,32-64,0.8440,35183,11663,192,23328,11855
CNN,64-64,0.8795,66735,22159,256,44320,22415
CNN,64-32,0.8532,34223,11343,192,22688,11535
