Description,Accuracy,Base Rate,Selection Rate,Disparate Impact,Statistical Parity Difference,Between Group Coefficient of Variation,Between Group Generalized Entropy Index,Between Group Theil Index,Mean Difference,Smoothed Empirical Differential Fairness,Consistency,Average Absolute Odds Difference,Average Odds Difference,Average Predictive Value Difference,Between All Groups Coefficient of Variation,Between All Groups Generalized Entropy Index,Between All Groups Theil Index,Coefficient of Variation,Differential Fairness Bias Amplification,Equal Opportunity Difference,Equalized Odds Difference,Error Rate,Error Rate Difference,Error Rate Ratio,False Discovery Rate,False Discovery Rate Difference,False Discovery Rate Ratio,False Negative Rate,False Negative Rate Difference,False Negative Rate Ratio,False Omission Rate,False Omission Rate Difference,False Omission Rate Ratio,False Positive Rate,False Positive Rate Difference,False Positive Rate Ratio,Generalized Entropy Index,Generalized Equalized Odds Difference,Generalized False Negative Rate,Generalized False Positive Rate,Generalized True Negative Rate,Generalized True Positive Rate,Negative Predictive Value,Number of False Negatives,Number of False Positives,Number of Generalized False Negatives,Number of Generalized False Positives,Number of Generalized True Negatives,Number of Generalized True Positives,Number of Instances,Number of Negatives,Number of Positives,Number of Predicted Negatives,Number of Predicted Positives,Number of True Negatives,Number of True Positives,Positive Predictive Value,Power,Precision,Recall,Sensitivity,Specificity,Theil Index,True Negative Rate,True Positive Rate,True Positive Rate Difference
Ideal Values,N/A,N/A,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N/A,0.0,0.0,0.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.0,0.0
MLP model-CM-GENDER Mitigation,0.5120023419203747,0.5108313817330211,0.5130757220921155,0.8133565874652604,-0.10469340232223623,0.1224486826644141,0.007496839943125193,0.007569487553641891,-0.10469340232223623,0.2953129838950408,0.9489851678376274,0.11130807628519945,-0.11130807628519945,0.14551420913037233,0.1224486826644141,0.007496839943125193,0.007569487553641891,0.6970003802667672,-0.08150086647124777,-0.0881644608343165,0.1344516917360824,0.48799765807962525,-0.02114775293901683,0.9575059236718347,0.4777481932293648,-0.16787871254803716,0.6925179214422394,0.4754536771728749,0.08816446083431656,1.2054687246861724,0.49879759519038075,0.12314970571270756,1.2824927052170372,0.5010971474167165,-0.1344516917360824,0.7568191819656068,0.24290476504600905,0.1344516917360824,0.4754536771728749,0.5010971474167165,0.4989028525832835,0.5245463228271251,0.5012024048096192,2489.0,2512.0,2489.0,2512.0,2501.0,2746.0,10248.0,5013.0,5235.0,4990.0,5258.0,2501.0,2746.0,0.5222518067706352,2746.0,0.5222518067706352,0.5245463228271251,0.5245463228271251,0.4989028525832835,0.3368070922506224,0.4989028525832835,0.5245463228271251,-0.0881644608343165
MLP model-CM-GENDER Mitigation,0.5120023419203747,0.5108313817330211,0.5130757220921155,0.8133565874652604,-0.10469340232223623,0.1224486826644141,0.007496839943125193,0.007569487553641891,-0.10469340232223623,0.2953129838950408,0.9489851678376274,0.11130807628519945,-0.11130807628519945,0.14551420913037233,0.1224486826644141,0.007496839943125193,0.007569487553641891,0.6970003802667672,-0.08150086647124777,-0.0881644608343165,0.1344516917360824,0.48799765807962525,-0.02114775293901683,0.9575059236718347,0.4777481932293648,-0.16787871254803716,0.6925179214422394,0.4754536771728749,0.08816446083431656,1.2054687246861724,0.49879759519038075,0.12314970571270756,1.2824927052170372,0.5010971474167165,-0.1344516917360824,0.7568191819656068,0.24290476504600905,0.1344516917360824,0.4754536771728749,0.5010971474167165,0.4989028525832835,0.5245463228271251,0.5012024048096192,2489.0,2512.0,2489.0,2512.0,2501.0,2746.0,10248.0,5013.0,5235.0,4990.0,5258.0,2501.0,2746.0,0.5222518067706352,2746.0,0.5222518067706352,0.5245463228271251,0.5245463228271251,0.4989028525832835,0.3368070922506224,0.4989028525832835,0.5245463228271251,-0.0881644608343165
MLP DIR model-CM-GENDER Mitigation,0.5046838407494145,0.5050741608118657,0.529664324746292,0.7650328784961545,-0.13948129360851808,0.1367663388594488,0.00935251572250879,0.009454511292356142,-0.13948129360851808,0.29183645948062076,0.9520686963309919,0.14423447210092855,-0.14423447210092855,0.1451119518759961,0.1367663388594488,0.00935251572250879,0.009454511292356142,0.6864767189892793,0.0031806730952783635,-0.12556534721860257,0.16290359698325452,0.4953161592505855,-0.02180914402595835,0.9568406062054056,0.49078850405305824,-0.16319581369437713,0.70592614315685,0.4659969088098918,0.12556534721860257,1.314170674085889,0.5004149377593361,0.12702809005761512,1.2934921547950022,0.5252365930599369,-0.16290359698325452,0.7231173545804311,0.23562514285714298,0.16290359698325452,0.4659969088098918,0.5252365930599369,0.4747634069400631,0.5340030911901081,0.4995850622406639,2412.0,2664.0,2412.0,2664.0,2408.0,2764.0,10248.0,5072.0,5176.0,4820.0,5428.0,2408.0,2764.0,0.5092114959469418,2764.0,0.5092114959469418,0.5340030911901081,0.5340030911901081,0.4747634069400631,0.3274299910522307,0.4747634069400631,0.5340030911901081,-0.12556534721860257
MLP DIR model-CM-GENDER Mitigation,0.5046838407494145,0.5050741608118657,0.529664324746292,0.7650328784961545,-0.13948129360851808,0.1367663388594488,0.00935251572250879,0.009454511292356142,-0.13948129360851808,0.29183645948062076,0.9520686963309919,0.14423447210092855,-0.14423447210092855,0.1451119518759961,0.1367663388594488,0.00935251572250879,0.009454511292356142,0.6864767189892793,0.0031806730952783635,-0.12556534721860257,0.16290359698325452,0.4953161592505855,-0.02180914402595835,0.9568406062054056,0.49078850405305824,-0.16319581369437713,0.70592614315685,0.4659969088098918,0.12556534721860257,1.314170674085889,0.5004149377593361,0.12702809005761512,1.2934921547950022,0.5252365930599369,-0.16290359698325452,0.7231173545804311,0.23562514285714298,0.16290359698325452,0.4659969088098918,0.5252365930599369,0.4747634069400631,0.5340030911901081,0.4995850622406639,2412.0,2664.0,2412.0,2664.0,2408.0,2764.0,10248.0,5072.0,5176.0,4820.0,5428.0,2408.0,2764.0,0.5092114959469418,2764.0,0.5092114959469418,0.5340030911901081,0.5340030911901081,0.4747634069400631,0.3274299910522307,0.4747634069400631,0.5340030911901081,-0.12556534721860257
MLP Reweighed model-CM-GENDER Mitigation,0.5085870413739266,0.5118071818891491,0.519808743169399,0.7481536365451549,-0.14801138360605648,0.1386368760016816,0.009610091693752819,0.009716428025559009,-0.14801138360605648,0.2760366648359458,0.9501366120218585,0.15257903935926237,-0.15257903935926237,0.1379474081680761,0.1386368760016816,0.009610091693752819,0.009716428025559009,0.6953985874031787,0.0306467799984258,-0.15788739770123383,0.15788739770123383,0.49141295862607337,0.0070219689055031065,1.014383626853333,0.48038295475877607,-0.13198212637383844,0.7517243323838931,0.4722592945662536,0.15788739770123383,1.4051633528702432,0.5033529770371875,0.14391268996231382,1.3375675096859607,0.5114931041375175,-0.1472706810172909,0.7412353008092032,0.2417895976811682,0.15788739770123383,0.4722592945662536,0.5114931041375175,0.4885068958624825,0.5277407054337464,0.49664702296281243,2477.0,2559.0,2477.0,2559.0,2444.0,2768.0,10248.0,5003.0,5245.0,4921.0,5327.0,2444.0,2768.0,0.519617045241224,2768.0,0.519617045241224,0.5277407054337464,0.5277407054337464,0.4885068958624825,0.33545015272191797,0.4885068958624825,0.5277407054337464,-0.15788739770123383
MLP Reweighed model-CM-GENDER Mitigation,0.5085870413739266,0.5118071818891491,0.519808743169399,0.7481536365451549,-0.14801138360605648,0.1386368760016816,0.009610091693752819,0.009716428025559009,-0.14801138360605648,0.2760366648359458,0.9501366120218585,0.15257903935926237,-0.15257903935926237,0.1379474081680761,0.1386368760016816,0.009610091693752819,0.009716428025559009,0.6953985874031787,0.0306467799984258,-0.15788739770123383,0.15788739770123383,0.49141295862607337,0.0070219689055031065,1.014383626853333,0.48038295475877607,-0.13198212637383844,0.7517243323838931,0.4722592945662536,0.15788739770123383,1.4051633528702432,0.5033529770371875,0.14391268996231382,1.3375675096859607,0.5114931041375175,-0.1472706810172909,0.7412353008092032,0.2417895976811682,0.15788739770123383,0.4722592945662536,0.5114931041375175,0.4885068958624825,0.5277407054337464,0.49664702296281243,2477.0,2559.0,2477.0,2559.0,2444.0,2768.0,10248.0,5003.0,5245.0,4921.0,5327.0,2444.0,2768.0,0.519617045241224,2768.0,0.519617045241224,0.5277407054337464,0.5277407054337464,0.4885068958624825,0.33545015272191797,0.4885068958624825,0.5277407054337464,-0.15788739770123383
MLP model-CM-AGE Mitigation,0.5120023419203747,0.5108313817330211,0.5130757220921155,1.178503647159354,0.08849380032675569,0.03962884107409317,0.0007852225224378669,0.0007699728035100761,0.08849380032675569,0.023559481969046114,0.9489851678376274,0.11674623558258015,0.08789350695063394,-0.029886367406033676,0.03962884107409317,0.0007852225224378669,0.0007699728035100761,0.6970003802667672,0.1693131423833174,0.2046397425332141,0.2046397425332141,0.48799765807962525,-0.11710113532249644,0.7708032397701221,0.4777481932293648,-0.08994752747665796,0.8193089492283065,0.4754536771728749,-0.204639742533214,0.6024706149871557,0.49879759519038075,-0.14972026228872537,0.7141766605089837,0.5010971474167165,-0.028852728631946212,0.9430747295968535,0.24290476504600905,0.2046397425332141,0.4754536771728749,0.5010971474167165,0.4989028525832835,0.5245463228271251,0.5012024048096192,2489.0,2512.0,2489.0,2512.0,2501.0,2746.0,10248.0,5013.0,5235.0,4990.0,5258.0,2501.0,2746.0,0.5222518067706352,2746.0,0.5222518067706352,0.5245463228271251,0.5245463228271251,0.4989028525832835,0.3368070922506224,0.4989028525832835,0.5245463228271251,0.2046397425332141
MLP model-CM-AGE Mitigation,0.5120023419203747,0.5108313817330211,0.5130757220921155,1.178503647159354,0.08849380032675569,0.03962884107409317,0.0007852225224378669,0.0007699728035100761,0.08849380032675569,0.023559481969046114,0.9489851678376274,0.11674623558258015,0.08789350695063394,-0.029886367406033676,0.03962884107409317,0.0007852225224378669,0.0007699728035100761,0.6970003802667672,0.1693131423833174,0.2046397425332141,0.2046397425332141,0.48799765807962525,-0.11710113532249644,0.7708032397701221,0.4777481932293648,-0.08994752747665796,0.8193089492283065,0.4754536771728749,-0.204639742533214,0.6024706149871557,0.49879759519038075,-0.14972026228872537,0.7141766605089837,0.5010971474167165,-0.028852728631946212,0.9430747295968535,0.24290476504600905,0.2046397425332141,0.4754536771728749,0.5010971474167165,0.4989028525832835,0.5245463228271251,0.5012024048096192,2489.0,2512.0,2489.0,2512.0,2501.0,2746.0,10248.0,5013.0,5235.0,4990.0,5258.0,2501.0,2746.0,0.5222518067706352,2746.0,0.5222518067706352,0.5245463228271251,0.5245463228271251,0.4989028525832835,0.3368070922506224,0.4989028525832835,0.5245463228271251,0.2046397425332141
MLP DIR model-CM-AGE Mitigation,0.5135636221701796,0.5045862607338018,0.5136612021857924,1.1949950793081603,0.09661876120508894,0.03526965297554956,0.000621974210507846,0.0006107369850372642,0.09661876120508894,0.011205431119465703,0.9516003122560505,0.11040714991343473,0.09469625876554708,-0.014017777924342667,0.03526965297554956,0.000621974210507846,0.0006107369850372642,0.6911190038604171,0.20126502963342385,0.2051034086789818,0.2051034086789818,0.4864363778298204,-0.1120778004170615,0.7791618808263394,0.4823328267477204,-0.0999703890638926,0.8016468170787154,0.4730226261844904,-0.2051034086789818,0.5993551131165811,0.4907704654895666,-0.12800594491257805,0.749478341844754,0.5000984833563128,-0.01571089114788765,0.9687672322753013,0.23882273874850762,0.2051034086789818,0.4730226261844904,0.5000984833563128,0.4999015166436872,0.5269773738155096,0.5092295345104334,2446.0,2539.0,2446.0,2539.0,2538.0,2725.0,10248.0,5077.0,5171.0,4984.0,5264.0,2538.0,2725.0,0.5176671732522796,2725.0,0.5176671732522796,0.5269773738155096,0.5269773738155096,0.4999015166436872,0.33133939356357095,0.4999015166436872,0.5269773738155096,0.2051034086789818
